id,scenario,probability,operational_cost
1,1,0.1,4.994496541886454e6
2,2,0.1,5.203040564152408e6
3,3,0.1,5.069253452654995e6
4,4,0.1,5.428066121080152e6
5,5,0.1,5.283131196337729e6
6,6,0.1,4.130675937474519e6
7,7,0.1,4.191279496970614e6
8,8,0.1,4.1889908171854364e6
9,9,0.1,4.49122631468461e6
10,10,0.1,4.228501158369887e6
