id,scenario,probability,solution,total_cost
1,1,0.2,,1.7852111707637228e7
2,2,0.2,,1.9707587405427426e7
3,3,0.2,,1.958450901999059e7
4,4,0.2,,2.422798195880457e7
5,5,0.2,,2.417698819591589e7
