asset,benchmark_solution,approximation_solution,diff,number_of_scenarios,seed
ocgt,0.13379897252143105,0.33638193299669117,1.5140845752220682,40,2
electrolizer,1.0395180540699664,1.0807703503175292,0.039684059440862986,40,2
wind_offshore,0.0,0.0,0.0,40,2
battery,0.0,0.0,0.0,40,2
ccgt,1.2606253301937733,1.2705409916018424,0.007865668863360807,40,3
wind,2.7537647679331156,3.0996308070989076,0.1255975249568566,40,3
solar,0.5343355345442876,0.3218763067832392,-0.3976138849575969,40,3
ocgt,0.1409674179147967,0.10166356763459232,-0.278815139424348,40,3
electrolizer,1.0754091401525545,1.0903336151354326,0.01387795065677137,40,3
wind_offshore,0.0,0.0,0.0,40,3
battery,0.0,0.0,0.0,40,3
ccgt,1.3175152524722742,1.2811258907633738,-0.027619689138791332,40,4
wind,2.7305711486332465,2.7577644119503826,0.009958818810030776,40,4
solar,0.020652366318066277,0.32631507256149983,14.800372099542217,40,4
ocgt,0.11532589421058904,0.16906264228801166,0.46595561599806423,40,4
electrolizer,1.0435834578520002,1.0891765399762314,0.04368896591948197,40,4
wind_offshore,0.0,0.0,0.0,40,4
battery,0.0,0.0,0.0,40,4
ccgt,1.276243652927995,1.2191751718555053,-0.04471597640588581,40,5
wind,2.799176063238199,2.8111327073010943,0.004271486963582996,40,5
solar,0.3610876731910053,0.2905516279712292,-0.1953432655189659,40,5
ocgt,0.10280519828141722,0.6465938128876697,5.2895050415417195,40,5
electrolizer,1.084164236735287,1.0540579000415262,-0.02776916603006496,40,5
wind_offshore,0.0,0.0,0.0,40,5
battery,0.0,0.0,0.0,40,5
ccgt,1.2212661615915958,1.2239959190090537,0.0022351863199913213,40,6
wind,2.623201721768623,2.519430379388234,-0.03955904020618893,40,6
solar,0.4682973664558969,0.48052288830915707,0.026106322027355487,40,6
ocgt,0.5407448718671763,0.5541100406129854,0.024716219128735378,40,6
electrolizer,1.0644285036484202,1.0517676597734709,-0.011894499096513515,40,6
wind_offshore,0.0,0.0,0.0,40,6
battery,0.0,0.0,0.0,40,6
ccgt,1.2745183602421333,1.290414496101774,0.012472269019820813,40,7
wind,2.5378328297629444,2.3953175066890715,-0.05615630840711644,40,7
solar,0.14944711900278335,0.03094923002584353,-0.7929084867452874,40,7
ocgt,0.38317926542393116,0.40981028103759404,0.06950014788561067,40,7
electrolizer,1.0548448891277327,1.0081585990424435,-0.04425891480964062,40,7
wind_offshore,0.0,0.0,0.0,40,7
battery,0.0,0.0,0.0,40,7
ccgt,1.2272133961946352,1.2258752588359654,-0.0010903868575906626,40,8
wind,2.582584582541723,2.503765255282225,-0.03051955308349501,40,8
solar,0.8194410483751312,0.8609602014956061,0.05066765108094502,40,8
ocgt,0.08228206999125688,0.0854055277163632,0.03796036883172981,40,8
electrolizer,0.9999999999999999,1.0,1.1102230246251568e-16,40,8
wind_offshore,0.0,0.0,0.0,40,8
battery,0.0,0.0,0.0,40,8
ccgt,1.2177495582690765,1.2118398610810077,-0.004852965987907141,40,9
wind,2.7568917274767317,3.0810903220937567,0.11759569350724934,40,9
solar,0.7564436920233619,0.7430917417175523,-0.01765095068754601,40,9
ocgt,0.08393503258945932,0.0,-1.0,40,9
electrolizer,1.085159884042185,1.124532357813295,0.03628264770021622,40,9
wind_offshore,0.0,0.0,0.0,40,9
battery,0.0,0.0,0.0,40,9
ccgt,1.2503085270502816,1.2119520609218581,-0.03067760100694007,40,10
wind,2.5631232746311237,3.088489642161369,0.20497116651787042,40,10
solar,0.0,0.1914485788353685,0.1914485788353685,40,10
ocgt,0.7105141203172655,0.7476737132290723,0.05229958399027167,40,10
electrolizer,1.024264498527158,1.102107714347785,0.07599913492321733,40,10
wind_offshore,0.0,0.0,0.0,40,10
battery,0.0,0.0,0.0,40,10
ccgt,1.2722690516891535,1.2696134999537847,-0.002087256411560985,70,1
wind,2.665980436711287,3.0542136264824244,0.1456249207327478,70,1
solar,0.1249290538321091,0.0,-1.0,70,1
ocgt,0.39489960052902157,0.456724592107782,0.15655875948199863,70,1
electrolizer,1.060883321821016,1.0613998992792963,0.0004869314538695501,70,1
wind_offshore,0.0,0.0,0.0,70,1
battery,0.0,0.0,0.0,70,1
ccgt,1.2906424345901324,1.273638813932143,-0.013174540215229437,70,2
