id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
4653,battery,2030,194,21,21,,-0.02619923285303951,0.0,0.0
4654,battery,2030,194,22,22,,-0.02619923285303951,0.0,0.0
4655,battery,2030,194,23,23,,-0.02619923285303951,0.0,0.0
4656,battery,2030,194,24,24,,-0.02619923285303951,0.0,0.0
4657,battery,2030,195,1,1,,-0.013258620763638547,0.0,0.0
4658,battery,2030,195,2,2,,-0.013258620763638547,0.0,0.0
4659,battery,2030,195,3,3,,-0.013258620763638547,0.0,0.0
4660,battery,2030,195,4,4,,-0.013258620763638547,0.0,0.0
4661,battery,2030,195,5,5,,-0.013258620763638547,0.0,0.0
4662,battery,2030,195,6,6,,-0.013258620763638547,0.0,0.0
4663,battery,2030,195,7,7,,-0.013258620763638547,0.0,0.0
4664,battery,2030,195,8,8,,-0.013258620763638547,0.0,0.0
4665,battery,2030,195,9,9,,-0.013258620763638547,0.0,0.0
4666,battery,2030,195,10,10,,-0.013258620763638547,0.0,0.0
4667,battery,2030,195,11,11,,-0.013258620763638547,0.0,0.0
4668,battery,2030,195,12,12,,-0.013258620763638545,0.0,0.0
4669,battery,2030,195,13,13,,-0.013258620763638545,0.0,0.0
4670,battery,2030,195,14,14,,-0.011965905239183788,0.0,0.0
4671,battery,2030,195,15,15,,-0.011965905239183788,0.0,0.0
4672,battery,2030,195,16,16,,-0.011965905239183788,0.0,0.0
4673,battery,2030,195,17,17,,-0.011965905239183788,0.0,0.0
4674,battery,2030,195,18,18,,-0.011965905239183788,0.0,0.0
4675,battery,2030,195,19,19,,-0.011965905239183788,0.0,0.0
4676,battery,2030,195,20,20,,-0.011965905239183788,0.0,0.0
4677,battery,2030,195,21,21,,-0.011965905239183788,0.0,0.0
4678,battery,2030,195,22,22,,-0.011965905239183788,0.0,0.0
4679,battery,2030,195,23,23,,-0.011965905239183788,0.0,0.0
4680,battery,2030,195,24,24,,-0.011965905239183788,0.0,0.0
4681,battery,2030,196,1,1,,-0.02965545673714818,0.0,0.0
4682,battery,2030,196,2,2,,-0.02965545673714818,0.0,0.0
4683,battery,2030,196,3,3,,-0.026764049705276235,0.0,0.0
4684,battery,2030,196,4,4,,-0.026764049705276235,0.0,0.0
4685,battery,2030,196,5,5,,-0.026764049705276235,0.0,0.0
4686,battery,2030,196,6,6,,-0.026764049705276235,0.0,0.0
4687,battery,2030,196,7,7,,-0.026764049705276235,0.0,0.0
4688,battery,2030,196,8,8,,-0.026764049705276235,0.0,0.0
4689,battery,2030,196,9,9,,-0.026764049705276235,0.0,0.0
4690,battery,2030,196,10,10,,-0.026764049705276235,0.0,0.0
4691,battery,2030,196,11,11,,-0.026764049705276235,0.0,0.0
4692,battery,2030,196,12,12,,-0.026764049705276235,0.0,0.0
4693,battery,2030,196,13,13,,-0.026764049705276235,0.0,0.0
4694,battery,2030,196,14,14,,-0.026764049705276235,0.0,0.0
4695,battery,2030,196,15,15,,-0.026764049705276235,0.0,0.0
4696,battery,2030,196,16,16,,-0.026764049705276235,0.0,0.0
4697,battery,2030,196,17,17,,-0.026764049705276235,0.0,0.0
4698,battery,2030,196,18,18,,-0.026764049705276235,0.0,0.0
4699,battery,2030,196,19,19,,-0.026764049705276235,0.0,0.0
4700,battery,2030,196,20,20,,-0.026764049705276235,0.0,0.0
4701,battery,2030,196,21,21,,-0.026764049705276235,0.0,0.0
4702,battery,2030,196,22,22,,-0.026764049705276235,0.0,0.0
4703,battery,2030,196,23,23,,-0.026764049705276235,0.0,0.0
4704,battery,2030,196,24,24,,-0.026764049705276235,0.0,0.0
4705,battery,2030,197,1,1,,-0.006512139428155991,0.0,0.0
4706,battery,2030,197,2,2,,-0.005877205833910783,0.0,0.0
4707,battery,2030,197,3,3,,-0.005877205833910783,0.0,0.0
4708,battery,2030,197,4,4,,-0.005877205833910783,0.0,0.0
4709,battery,2030,197,5,5,,-0.005877205833910783,0.0,0.0
4710,battery,2030,197,6,6,,-0.005877205833910783,0.0,0.0
4711,battery,2030,197,7,7,,-0.005877205833910783,0.0,0.0
4712,battery,2030,197,8,8,,-0.005877205833910783,0.0,0.0
4713,battery,2030,197,9,9,,-0.005877205833910783,0.0,0.0
4714,battery,2030,197,10,10,,-0.005877205833910783,0.0,0.0
4715,battery,2030,197,11,11,,-0.005877205833910783,0.0,0.0
4716,battery,2030,197,12,12,,-0.005877205833910783,0.0,0.0
4717,battery,2030,197,13,13,,-0.005877205833910783,0.0,0.0
4718,battery,2030,197,14,14,,-0.005877205833910783,0.0,0.0
4719,battery,2030,197,15,15,,-0.005877205833910783,0.0,0.0
4720,battery,2030,197,16,16,,-0.005877205833910783,0.0,0.0
4721,battery,2030,197,17,17,,-0.005877205833910783,0.0,0.0
4722,battery,2030,197,18,18,,-0.005877205833910783,0.0,0.0
4723,battery,2030,197,19,19,,-0.005877205833910783,0.0,0.0
4724,battery,2030,197,20,20,,-0.005877205833910783,0.0,0.0
4725,battery,2030,197,21,21,,-0.005877205833910783,0.0,0.0
4726,battery,2030,197,22,22,,-0.005877205833910783,0.0,0.0
4727,battery,2030,197,23,23,,-0.005877205833910783,0.0,0.0
4728,battery,2030,197,24,24,,-0.005877205833910783,0.0,0.0
4729,battery,2030,198,1,1,,-0.018606946837541907,0.0,0.0
4730,battery,2030,198,2,2,,-0.018606946837541907,0.0,0.0
