id,scenario,probability,total_cost
11,11,0.025,1.8610174377096545e7
14,14,0.025,1.865676770684803e7
15,15,0.025,1.8726657701475248e7
16,16,0.025,1.8796547696102466e7
17,17,0.025,1.8819844360978212e7
