id,scenario,probability,operational_cost
1,1,0.2,7.514019225069534e6
2,2,0.2,7.778671901130102e6
3,3,0.2,1.2115780701802494e7
4,4,0.2,1.0863477136393536e7
5,5,0.2,1.312461340244897e7
