id,scenario,probability,operational_cost,id_1,probability_1,xi,mu,cost_minus_mu,xi_should_be_at_least,violation
5,5,0.2,1.312461340244897e7,5,0.2,0.0,2.32595106625227e7,-1.0134897260073729e7,0.0,false
3,3,0.2,1.2115780701802494e7,3,0.2,0.0,2.32595106625227e7,-1.1143729960720206e7,0.0,false
4,4,0.2,1.0863477136393536e7,4,0.2,0.0,2.32595106625227e7,-1.2396033526129164e7,0.0,false
2,2,0.2,7.778671901130102e6,2,0.2,0.0,2.32595106625227e7,-1.5480838761392597e7,0.0,false
1,1,0.2,7.514019225069534e6,1,0.2,0.0,2.32595106625227e7,-1.5745491437453166e7,0.0,false
