id,scenario,probability,solution,total_cost
1,1,0.1,,1.754539378058988e7
2,2,0.1,,1.7798108928287793e7
3,3,0.1,,1.780672850220625e7
4,4,0.1,,1.7065315411389902e7
5,5,0.1,,1.7855293665830135e7
6,6,0.1,,1.8615727908911493e7
7,7,0.1,,2.2201593285126552e7
8,8,0.1,,2.107444101681841e7
9,9,0.1,,2.334711388570678e7
10,10,0.1,,2.290786681951016e7
