id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
1123,battery,2030,47,19,19,,-0.04296569883980279,0.0,0.0
1124,battery,2030,47,20,20,,-0.04296569883980279,0.0,0.0
1125,battery,2030,47,21,21,,-0.04296569883980279,0.0,0.0
1126,battery,2030,47,22,22,,-0.04296569883980279,0.0,0.0
1127,battery,2030,47,23,23,,-0.04296569883980279,0.0,0.0
1128,battery,2030,47,24,24,,-0.04296569883980279,0.0,0.0
1129,battery,2030,48,1,1,,-0.030651223823213128,0.0,0.0
1130,battery,2030,48,2,2,,-0.030651223823213128,0.0,0.0
1131,battery,2030,48,3,3,,-0.030651223823213128,0.0,0.0
1132,battery,2030,48,4,4,,-0.030651223823213128,0.0,0.0
1133,battery,2030,48,5,5,,-0.030651223823213128,0.0,0.0
1134,battery,2030,48,6,6,,-0.030651223823213128,0.0,0.0
1135,battery,2030,48,7,7,,-0.030651223823213128,0.0,0.0
1136,battery,2030,48,8,8,,-0.030651223823213128,0.0,0.0
1137,battery,2030,48,9,9,,-0.030651223823213128,0.0,0.0
1138,battery,2030,48,10,10,,-0.030651223823213128,0.0,0.0
1139,battery,2030,48,11,11,,-0.027662729500449852,0.0,0.0
1140,battery,2030,48,12,12,,-0.027662729500449852,0.0,0.0
1141,battery,2030,48,13,13,,-0.027662729500449852,0.0,0.0
1142,battery,2030,48,14,14,,-0.027662729500449852,0.0,0.0
1143,battery,2030,48,15,15,,-0.027662729500449852,0.0,0.0
1144,battery,2030,48,16,16,,-0.027662729500449852,0.0,0.0
1145,battery,2030,48,17,17,,-0.027662729500449852,0.0,0.0
1146,battery,2030,48,18,18,,-0.027662729500449852,0.0,0.0
1147,battery,2030,48,19,19,,-0.027662729500449852,0.0,0.0
1148,battery,2030,48,20,20,,-0.027662729500449852,0.0,0.0
1149,battery,2030,48,21,21,,-0.027662729500449852,0.0,0.0
1150,battery,2030,48,22,22,,-0.027662729500449852,0.0,0.0
1151,battery,2030,48,23,23,,-0.027662729500449852,0.0,0.0
1152,battery,2030,48,24,24,,-0.027662729500449852,0.0,0.0
1153,battery,2030,49,1,1,,-0.10489202482534908,0.0,0.0
1154,battery,2030,49,2,2,,-0.09466505240487755,0.0,0.0
1155,battery,2030,49,3,3,,-0.09466505240487755,0.0,0.0
1156,battery,2030,49,4,4,,-0.09466505240487755,0.0,0.0
1157,battery,2030,49,5,5,,-0.09466505240487755,0.0,0.0
1158,battery,2030,49,6,6,,-0.09466505240487755,0.0,0.0
1159,battery,2030,49,7,7,,-0.09466505240487755,0.0,0.0
1160,battery,2030,49,8,8,,-0.09466505240487755,0.0,0.0
1161,battery,2030,49,9,9,,-0.09466505240487755,0.0,0.0
1162,battery,2030,49,10,10,,-0.09466505240487755,0.0,0.0
1163,battery,2030,49,11,11,,-0.09466505240487755,0.0,0.0
1164,battery,2030,49,12,12,,-0.09466505240487755,0.0,0.0
1165,battery,2030,49,13,13,,-0.09466505240487755,0.0,0.0
1166,battery,2030,49,14,14,,-0.09466505240487755,0.0,0.0
1167,battery,2030,49,15,15,,-0.09466505240487755,0.0,0.0
1168,battery,2030,49,16,16,,-0.09466505240487755,0.0,0.0
1169,battery,2030,49,17,17,,-0.09466505240487755,0.0,0.0
1170,battery,2030,49,18,18,,-0.09466505240487755,0.0,0.0
1171,battery,2030,49,19,19,,-0.09466505240487755,0.0,0.0
1172,battery,2030,49,20,20,,-0.09466505240487755,0.0,0.0
1173,battery,2030,49,21,21,,-0.09466505240487755,0.0,0.0
1174,battery,2030,49,22,22,,-0.09466505240487755,0.0,0.0
1175,battery,2030,49,23,23,,-0.09466505240487755,0.0,0.0
1176,battery,2030,49,24,24,,-0.09466505240487755,0.0,0.0
1177,battery,2030,50,1,1,,-0.10590814143152721,0.0,0.0
1178,battery,2030,50,2,2,,-0.10590814143152721,0.0,0.0
1179,battery,2030,50,3,3,,-0.10590814143152721,0.0,0.0
1180,battery,2030,50,4,4,,-0.10590814143152721,0.0,0.0
1181,battery,2030,50,5,5,,-0.09558209764195331,0.0,0.0
1182,battery,2030,50,6,6,,-0.09558209764195331,0.0,0.0
1183,battery,2030,50,7,7,,-0.09558209764195331,0.0,0.0
1184,battery,2030,50,8,8,,-0.09558209764195331,0.0,0.0
1185,battery,2030,50,9,9,,-0.09558209764195331,0.0,0.0
1186,battery,2030,50,10,10,,-0.09558209764195331,0.0,0.0
1187,battery,2030,50,11,11,,-0.09558209764195331,0.0,0.0
1188,battery,2030,50,12,12,,-0.09558209764195331,0.0,0.0
1189,battery,2030,50,13,13,,-0.09558209764195331,0.0,0.0
1190,battery,2030,50,14,14,,-0.09558209764195331,0.0,0.0
1191,battery,2030,50,15,15,,-0.09558209764195331,0.0,0.0
1192,battery,2030,50,16,16,,-0.09558209764195331,0.0,0.0
1193,battery,2030,50,17,17,,-0.09558209764195331,0.0,0.0
1194,battery,2030,50,18,18,,-0.09558209764195331,0.0,0.0
1195,battery,2030,50,19,19,,-0.09558209764195331,0.0,0.0
1196,battery,2030,50,20,20,,-0.09558209764195331,0.0,0.0
1197,battery,2030,50,21,21,,-0.09558209764195331,0.0,0.0
1198,battery,2030,50,22,22,,-0.09558209764195331,0.0,0.0
1199,battery,2030,50,23,23,,-0.09558209764195331,0.0,0.0
1200,battery,2030,50,24,24,,-0.09558209764195331,0.0,0.0
1201,battery,2030,51,1,1,,-0.012100201448076765,0.0,0.0
1202,battery,2030,51,2,2,,-0.012100201448076765,0.0,0.0
1203,battery,2030,51,3,3,,-0.012100201448076765,0.0,0.0
1204,battery,2030,51,4,4,,-0.012100201448076765,0.0,0.0
1205,battery,2030,51,5,5,,-0.012100201448076765,0.0,0.0
1206,battery,2030,51,6,6,,-0.012100201448076765,0.0,0.0
1207,battery,2030,51,7,7,,-0.012100201448076765,0.0,0.0
1208,battery,2030,51,8,8,,-0.012100201448076765,0.0,0.0
1209,battery,2030,51,9,9,,-0.012100201448076765,0.0,0.0
1210,battery,2030,51,10,10,,-0.012100201448076765,0.0,0.0
1211,battery,2030,51,11,11,,-0.012100201448076765,0.0,0.0
1212,battery,2030,51,12,12,,-0.012100201448076765,0.0,0.0
1213,battery,2030,51,13,13,,-0.012100201448076765,0.0,0.0
1214,battery,2030,51,14,14,,-0.012100201448076765,0.0,0.0
1215,battery,2030,51,15,15,,-0.012100201448076765,0.0,0.0
1216,battery,2030,51,16,16,,-0.012100201448076765,0.0,0.0
1217,battery,2030,51,17,17,,-0.012100201448076765,0.0,0.0
1218,battery,2030,51,18,18,,-0.012100201448076765,0.0,0.0
1219,battery,2030,51,19,19,,-0.012100201448076765,0.0,0.0
1220,battery,2030,51,20,20,,-0.012100201448076765,0.0,0.0
