id,scenario,probability,operational_cost
1,1,0.2,7.880240150478622e6
2,2,0.2,9.629360874864828e6
3,3,0.2,9.098859568360109e6
4,4,0.2,1.4502557596448371e7
5,5,0.2,1.3903565140168913e7
