id,scenario,probability,solution,dual_scenario_tail_excess
1,31,0.9,,-0.0
2,58,0.012499999999999997,,0.0125
3,60,0.012499999999999997,,0.0125
4,62,0.012499999999999997,,0.0125
5,64,0.012499999999999997,,0.0125
6,66,0.012499999999999997,,0.0125
7,67,0.012499999999999997,,0.0125
8,68,0.012499999999999997,,0.0125
9,70,0.012499999999999997,,0.0125
