,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,NL00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.3576394717534077,0.9470774675387139,0.5207688900740604,0.5381334139889462,0.956336413791264,0.948874280297388,0.942173172047956,0.8907888381581274,0.9408179646440012,0.9483596431369851,0.8870001801758735,0.6744862605519527,0.13443564183531784,0.9487022826782118,0.37332578620662843,0.9412023729661015,0.45804451380411537,0.9435627833502005,0.9985713651355113,0.1941333698987189,0.9353947088733771,0.4679719325668805,0.9427034457090914,0.3888561512800295,0.937289565831114,0.8440717169839254,0.9227932478082008,0.48772913171333815,0.6356560403538701,0.9528819686620814,0.998445054629657,0.9253439443612846,0.6271377881765394,0.8828836812754527,0.29467334736756556,0.8836206180081062
01.01.,2,0.5716192071116069,0.9492517333810693,0.6576284481695001,0.6603843512829771,0.9540000085481563,0.9461229460441356,0.9421391227979975,0.8675677165056691,0.9347907362023145,0.949636937536068,0.8698208402910661,0.6947372127457628,0.1266391030825179,0.9485421676222059,0.2913794777055837,0.9411297719425203,0.4674916343164467,0.9335594132699753,0.9979571234340456,0.1956291015369039,0.9117241023565743,0.33667177613202076,0.9438012579066004,0.4015590177044951,0.9385094573502888,0.8507271493650896,0.9216086787533343,0.5325940197442888,0.705458718597655,0.9493222857954078,0.9977823948384509,0.8840267728891129,0.6516668652041007,0.8925066344065387,0.2740348017084878,0.8845219387870302
01.01.,3,0.7282799285776933,0.9478921363496274,0.7711324571575933,0.7532393912683206,0.9471316250665942,0.946491783853564,0.9394429053574623,0.8409642489110783,0.9207825132116079,0.9483370845263243,0.8495906094340843,0.6958591794265536,0.11277780086346287,0.9469243218735772,0.21967037038384266,0.9406679948019323,0.47278428700591235,0.9165313841294005,0.9977943229929583,0.20418380373452794,0.8509931999183616,0.2196204699345823,0.944779353571492,0.39096001102554645,0.935597417586795,0.852858894062791,0.9214732099475197,0.5895270990335707,0.7572349060469,0.9480233785259666,0.9974427759281093,0.8481771185000972,0.6566057886623876,0.9017871041365071,0.26069861858599097,0.8953314448467617
01.01.,4,0.804983120868802,0.9467273447493092,0.8464724073283881,0.7866047635479406,0.9369216391554644,0.9448626707714081,0.9292738718090212,0.8204723980014351,0.9009671679760347,0.9472247671274869,0.8204207845191429,0.6871867122025257,0.09840633848385257,0.945926798480144,0.1713159711673672,0.9366633681906984,0.4687925758341629,0.8845258038751331,0.9976224603261711,0.2035192546440422,0.7629981404726783,0.14701770818872884,0.9455167519725809,0.3776408650040485,0.9364247085974912,0.8588761653672231,0.9167425478199803,0.6229503515413168,0.7913943087221749,0.9458850251069825,0.9969528774662934,0.8309421329299149,0.6618317849690469,0.9139503196518161,0.24266305718928086,0.8945579088470351
01.01.,5,0.8440841575903824,0.944211079327244,0.8983113300465101,0.7781824958569903,0.9248661846113462,0.9434878166928296,0.9161343212018515,0.8209069351128652,0.8801765391599372,0.9447669103817242,0.7981190880296598,0.6574072639797995,0.09469345204092693,0.9433673105761892,0.1410867307553882,0.9367403230162122,0.4695625031842684,0.8287876807639447,0.9972046693043136,0.19766913281704993,0.6546688536040155,0.11032079199938362,0.9449473421375949,0.3349642986631543,0.9383746790964351,0.8521863942422874,0.9131813172122091,0.6603910222545756,0.8186117431386121,0.9429668794263661,0.9961355666425684,0.8253406013576386,0.6755619440537154,0.9208378901253534,0.23149382020361164,0.9017197262833887
01.01.,6,0.861079250935789,0.9440388954338517,0.9282493351232294,0.7285591127498844,0.8987492373648936,0.9351981057554807,0.9001521992613737,0.8208262377772048,0.8456024099129593,0.944684372440678,0.7708610720076556,0.6732416269640762,0.08688205940251736,0.9434107143038566,0.1162806192109228,0.9386957982908787,0.46390284091245493,0.7471411279303246,0.9965876850864352,0.18858911855002647,0.5467123074207466,0.09440231155499945,0.9464899453886022,0.30025255438240506,0.932998131217844,0.8397450138210839,0.9186492600719314,0.7056197192289942,0.8326992432494624,0.9379268935429719,0.9942457283080627,0.859851556803023,0.6839583044649815,0.9291509807963473,0.21665645054122643,0.9176689485362017
01.01.,7,0.8682365241409412,0.9459188427665,0.9351833114852678,0.6436443077453077,0.875598699921227,0.9345931198051605,0.8929627941494265,0.8291439337637593,0.7915397924976039,0.9466134343366903,0.7486794384483555,0.6686165316243285,0.08341009069452118,0.9454783040899042,0.09623409966058596,0.9435754642216081,0.47289401575681866,0.6290343046036755,0.9949911952046784,0.1850108920133031,0.46404527560086095,0.08561595785500363,0.9411872558432538,0.27780511990049644,0.931530031351974,0.8094977792899801,0.9163005644607793,0.7419385501152267,0.8490799820226052,0.9391422795506774,0.9914939741035567,0.8954775461171054,0.6945286647099426,0.936552631833939,0.1926876932724728,0.9342304790900207
01.01.,8,0.8866577540017434,0.9458357243597202,0.94052393877168,0.5580684141615899,0.8572391885271432,0.9353580756616913,0.897371148637349,0.8300713650165723,0.7272721772411711,0.9457296811055432,0.717192201777491,0.6590220438365676,0.0912221666201827,0.9455428555129777,0.07769901638431864,0.9410056587739705,0.44406305010940883,0.5092523261792522,0.9916791402449461,0.17905963948789705,0.4282946377704431,0.08183750211387346,0.9408655767997153,0.26885813460787683,0.9331435514094127,0.7679383037519639,0.921690894383403,0.7737033606621634,0.8669364861474573,0.9401150596644645,0.9880236132275011,0.9154504072831624,0.7222430911787828,0.9407154312716476,0.1763611275287137,0.9359529975638664
01.01.,9,0.8907013155965039,0.9477640024263706,0.9417410175701412,0.504703627242815,0.8401353074382262,0.9321370415548982,0.8926364418194892,0.7981224698768696,0.6977730102265896,0.9437725939638005,0.7024474029342528,0.5983051172166544,0.0982781215628582,0.9476339657403584,0.05884323799943114,0.9410229462003602,0.40247697791229353,0.370574740140047,0.9864396306972296,0.1848563892657049,0.41524983010645244,0.08627014281039168,0.9396821463202154,0.27839530837058885,0.9339344802318262,0.7312997851114772,0.9241845562650586,0.798151132543642,0.8859063153603668,0.936491067815675,0.9813331899352027,0.928701185990743,0.7494074587456532,0.9447453979148964,0.18240415779332864,0.9370866716784164
01.01.,10,0.8896973319852809,0.9474202580540927,0.9415206184222958,0.4815080776100876,0.8087135146460157,0.9345539431371575,0.897534806094227,0.770135876738178,0.7252637301879747,0.9276247846542557,0.7253450546241538,0.5508381241519281,0.11137671456202405,0.9468789892213733,0.04805419002679846,0.942541451470605,0.3630304880406342,0.3097304071867249,0.9678413607169842,0.19797225427288892,0.4131086572724749,0.0965780914886124,0.9366265332876165,0.2997166531012855,0.9363657355646874,0.7039643126731654,0.9262165771183164,0.8050463803581431,0.9002602102821885,0.9358609305484623,0.9723770615146543,0.9366796277095027,0.76336011909575,0.9455102299308932,0.20696906434339596,0.9410599655512977
