,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,NL00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.06787723978481808,0.7644809004371489,0.10248216208181518,0.08321245703832325,0.7812916119911786,0.773902136253292,0.28499056692106534,0.34600537115133767,0.8107573172849384,0.718456949578006,0.5955604310232089,0.10810191319570965,0.06771307904071586,0.8966024253308937,0.2524884958333088,0.8374270745614554,0.060289980070250354,0.7865269481456219,0.8634984430906839,0.01630777112944133,0.7868743989321136,0.3790537069581348,0.6855072921834563,0.16149854346847317,0.5801703982365467,0.4769329890414215,0.700473253806683,0.21431560799711108,0.23614256655529015,0.803564524452446,0.9090686286911938,0.6450564537428065,0.13859769209330255,0.5877761078021322,0.04213755326773042,0.6708405873536211
01.01.,2,0.10957919222385315,0.7866134350769579,0.12974367351304542,0.12449485665716147,0.7480446149684844,0.759246393820171,0.3081840905956915,0.3245681811523205,0.7446197637529794,0.8019692567491424,0.5820214641025551,0.11538042238666607,0.055374035972049346,0.8897121208228496,0.22724177395005074,0.8185882741357323,0.060111496021525705,0.7511748462086918,0.8973937053635462,0.01518667679871623,0.7963462596886,0.24383976289846965,0.6998280622756704,0.16630201971050432,0.6148648621738493,0.46716391997821594,0.7119987648346559,0.23024368431412595,0.2581435544713014,0.7847310587157287,0.9039509207277092,0.5544675844926745,0.13263237201765807,0.5352620549946129,0.0413059171667485,0.6810502291636652
01.01.,3,0.1557460586355193,0.7977358777684437,0.16348242437364474,0.18565730395370325,0.7163076422881508,0.7645135895578533,0.3276293266472572,0.30688655343597265,0.6467821393084386,0.8568262046190186,0.5826444301059374,0.12091605350241444,0.047071351141404254,0.8786578126282603,0.20510448506937767,0.7940221357350815,0.06180104737290286,0.6767488323231243,0.9099695844287037,0.015697650486432072,0.7991531260587537,0.13374722105778908,0.7144394820911306,0.16835523405629532,0.6526733033622751,0.46043310689918765,0.7150705931437866,0.2571275094059631,0.2826359786465884,0.7622883394513351,0.8965133036243875,0.4826770632882531,0.13307387306934118,0.5018288726093969,0.04464655823289846,0.7172596810140666
01.01.,4,0.19563454819474763,0.8056982757900596,0.20636525013983867,0.25210585990625156,0.6925902654448782,0.754253519976876,0.32748513295421977,0.2877836886396147,0.5440666719348897,0.8807583913415826,0.5789188017123066,0.13258069960530106,0.04118436244307191,0.8694368075125987,0.18424368771824462,0.7643348108133836,0.06257791082550579,0.5882951596884007,0.9113389111735597,0.01818096662977429,0.7843621227689406,0.0702200144321533,0.7402816490200962,0.1681396011043009,0.6843662229317224,0.4511872978618595,0.7146636160074302,0.2816810668273,0.29896757668233165,0.7401601634863778,0.8845428005251026,0.42962994356338524,0.13958502053230573,0.4812962882785583,0.05073641739497709,0.7527364065873632
01.01.,5,0.23198869012797207,0.8088488893281391,0.2631304765239923,0.30258687317103006,0.6830474952224731,0.7443374430003185,0.31873587274537307,0.2834602217128384,0.49360621891139805,0.888369797356077,0.5544064120082233,0.15164322049927556,0.03666355290155186,0.8738849257327794,0.16537820681602355,0.7596118081888148,0.06518421812843868,0.49252790611209396,0.9114187450427393,0.023630742475962703,0.7560766366158405,0.04125517008443871,0.7709896297647676,0.1671262459839154,0.7028918400056371,0.43232203791574575,0.714212686420114,0.3249306314698283,0.3230479983340858,0.7245326034308166,0.8722746915055561,0.40639538609515935,0.15833794842394414,0.4748949734879539,0.05744912110689263,0.7808631078233822
01.01.,6,0.26394024965324087,0.8066174229826107,0.3387888255204984,0.3221436566230949,0.6785844833409808,0.7161049732361224,0.305342702736724,0.28286055379588615,0.45940777524665266,0.882073769102429,0.5144963329642526,0.16140046757844553,0.031019387365131212,0.8701768310095916,0.14388860759082578,0.746963425778407,0.06590995879399322,0.3991846034503672,0.9088659215896566,0.030469302136045248,0.7166228673757261,0.03374098367045434,0.787331004914113,0.1656305470459227,0.70164217768441,0.3997013741875406,0.7037757836499287,0.3633546434524822,0.3453152666730519,0.7140323225667962,0.8594307058747206,0.42009439550583716,0.18017271627412318,0.4869832587090377,0.0606034104623331,0.8085036832103493
01.01.,7,0.303747880713472,0.8037270930085303,0.42165983679609415,0.33052842656890485,0.6713480950848401,0.6663946287713832,0.2906882026791731,0.27862177623401585,0.39774583929201734,0.8667915829180466,0.47697943997868003,0.16015692791517439,0.02469599985191755,0.8731988535790562,0.12243443821755447,0.7368142503341724,0.06057246283906503,0.2857270035852344,0.9065281684833182,0.03624967534748173,0.6835146856682939,0.03247887951183872,0.787933759631769,0.167993850721674,0.6921760645677606,0.36342970910602257,0.6955119229478502,0.41191935165119636,0.35975704191770635,0.7069543028900259,0.8420332964271853,0.4649638767486931,0.19409945962079914,0.5155875294752202,0.059657138907785526,0.8377994531053455
01.01.,8,0.36912373647141467,0.7989208182342858,0.4801908589807591,0.33481563871713577,0.6575244550622905,0.6097273231805004,0.28118960581096386,0.2621802850716913,0.3427602930931146,0.831622504372393,0.46043400831516806,0.14383236689066808,0.01838603414209887,0.8737419544041516,0.11140765051774028,0.704191364661956,0.04789774103853526,0.18399958187256293,0.9030875143075088,0.03705141286220471,0.661321049292735,0.03019362077905302,0.7724335741998041,0.1760315417443074,0.6851880560668557,0.3331669725108826,0.7038049402372504,0.44808838056797085,0.39314503145714835,0.693624055279678,0.8125644494064729,0.5304012843522047,0.20579557034123536,0.5460135464608773,0.0493477975629587,0.8527560040531885
01.01.,9,0.4315354333717063,0.7871474659284086,0.5350122582399894,0.32799688485039374,0.6375612871198917,0.5600328048709768,0.2735364501374908,0.23496482386542483,0.33862143641615483,0.7539840254015857,0.4517442750562564,0.12396320464064553,0.016398131242076286,0.8678278447347882,0.10331084621669445,0.6637833372128704,0.03744003951567116,0.1273377501425465,0.8970087572636587,0.03349408188280031,0.648302160909971,0.029493158559822923,0.742099561618981,0.18986776657419085,0.6722527763255426,0.29568080133457414,0.7133470205306474,0.46812005764551073,0.4236481833836832,0.6801802108429497,0.769183365683332,0.5896903108203778,0.21096951756903187,0.5890468154045415,0.044823514868946694,0.8659850791203266
01.01.,10,0.45479949885237503,0.7588619726850532,0.564573234987049,0.3063674384023271,0.5882350914144838,0.5105021061462793,0.26600703806135695,0.21072798187049116,0.36397863187801577,0.6171245549051163,0.4162769875362215,0.11586673045837259,0.02214240201622178,0.8606682694203887,0.09375073969581049,0.6375840544293455,0.03254749401304234,0.10164545975743558,0.8793615127454799,0.02849393565231487,0.6075035263106442,0.036601233223098904,0.7009726257038694,0.1909466752051181,0.6308033061549042,0.26969015383909123,0.6948044260377342,0.4517976688341723,0.4172514594786691,0.6375447065039141,0.6812819484506298,0.6120004821541437,0.21028759483238052,0.6072367108666026,0.053780076173497886,0.8655969271495779
