id,scenario,probability,operational_cost
1,1,0.2,1.06809959907892e7
2,2,0.2,9.960927730308676e6
3,3,0.2,1.0878886166936219e7
4,4,0.2,1.1037198905953525e7
5,5,0.2,1.1433501415408209e7
