base_name,period_duration,method,distance,weight_type,niters,learning_rate,stochastic_method,run_case
kmedoids_cross_convex,24,k_medoids,Euclidean,convex,2000,0.001,cross_scenario,false
kmedoids_per_convex,24,k_medoids,Euclidean,convex,2000,0.001,per_scenario,true
