id,scenario,probability,operational_cost
1,1,0.2,1.06809959907892e7
2,2,0.2,9.96092773030868e6
3,3,0.2,1.0878886166936222e7
4,4,0.2,1.1037198905953517e7
5,5,0.2,1.1433501415408213e7
