from_asset,to_asset,commission_year,producer_efficiency
CZ_Hydro_Reservoir,CZ_E_Demand,2050,1.0
CZ_Nuclear,CZ_E_Demand,2050,1.0
CZ_Pump_Hydro_Closed,CZ_E_Demand,2050,0.875
CZ_Pump_Hydro_Open,CZ_E_Demand,2050,0.875
CZ_Solar,CZ_E_Demand,2050,1.0
CZ_Wind_Onshore,CZ_E_Demand,2050,1.0
CZ_electrolyzer,CZ_H_Demand,2050,0.65
DE_Battery,DE_E_Demand,2050,0.955
DE_Coal,DE_E_Demand,2050,1.0
DE_E_Demand,BE_E_Demand,2050,
DE_E_Demand,DE_Battery,2050,0.955
DE_E_Demand,DE_Pump_Hydro_Closed,2050,0.875
DE_E_Demand,DE_Pump_Hydro_Open,2050,0.875
DE_E_Demand,DE_electrolyzer,2050,1.0
DE_E_Demand,NL_E_Demand,2050,
DE_Gas,DE_E_Demand,2050,1.0
DE_Hydro,DE_E_Demand,2050,1.0
DE_Hydro_Reservoir,DE_E_Demand,2050,1.0
DE_OCGT,DE_E_Demand,2050,1.0
DE_Pump_Hydro_Closed,DE_E_Demand,2050,0.875
DE_Pump_Hydro_Open,DE_E_Demand,2050,0.875
DE_Solar,DE_E_Demand,2050,1.0
DE_Wind_Offshore,DE_E_Demand,2050,1.0
DE_Wind_Onshore,DE_E_Demand,2050,1.0
DE_electrolyzer,DE_H_Demand,2050,0.65
DK_Battery,DK_E_Demand,2050,0.955
DK_E_Demand,DE_E_Demand,2050,
DK_E_Demand,DK_electrolyzer,2050,1.0
DK_E_Demand,NL_E_Demand,2050,
DK_Gas,DK_E_Demand,2050,1.0
DK_OCGT,DK_E_Demand,2050,1.0
DK_Solar,DK_E_Demand,2050,1.0
DK_Wind_Offshore,DK_E_Demand,2050,1.0
DK_Wind_Onshore,DK_E_Demand,2050,1.0
DK_electrolyzer,DK_H_Demand,2050,0.65
EE_E_Demand,EE_electrolyzer,2050,1.0
EE_E_Demand,LV_E_Demand,2050,
EE_Solar,EE_E_Demand,2050,1.0
EE_Wind_Offshore,EE_E_Demand,2050,1.0
EE_Wind_Onshore,EE_E_Demand,2050,1.0
EE_electrolyzer,EE_H_Demand,2050,0.65
ES_Battery,ES_E_Demand,2050,0.955
ES_E_Demand,ES_Battery,2050,0.955
ES_E_Demand,ES_Pump_Hydro_Closed,2050,0.875
ES_E_Demand,ES_Pump_Hydro_Open,2050,0.875
ES_E_Demand,ES_electrolyzer,2050,1.0
ES_E_Demand,FR_E_Demand,2050,
ES_Gas,ES_E_Demand,2050,1.0
ES_Hydro,ES_E_Demand,2050,1.0
ES_Hydro_Reservoir,ES_E_Demand,2050,1.0
ES_Nuclear,ES_E_Demand,2050,1.0
ES_Pump_Hydro_Closed,ES_E_Demand,2050,0.875
ES_Pump_Hydro_Open,ES_E_Demand,2050,0.875
ES_Solar,ES_E_Demand,2050,1.0
ES_Wind_Offshore,ES_E_Demand,2050,1.0
ES_Wind_Onshore,ES_E_Demand,2050,1.0
ES_electrolyzer,ES_H_Demand,2050,0.65
FI_Battery,FI_E_Demand,2050,0.955
FI_E_Demand,EE_E_Demand,2050,
FI_E_Demand,FI_Battery,2050,0.955
FI_E_Demand,FI_electrolyzer,2050,1.0
FI_E_Demand,SE_E_Demand,2050,
FI_Gas,FI_E_Demand,2050,1.0
FI_Hydro_Reservoir,FI_E_Demand,2050,1.0
FI_Nuclear,FI_E_Demand,2050,1.0
FI_OCGT,FI_E_Demand,2050,1.0
FI_Solar,FI_E_Demand,2050,1.0
FI_Wind_Offshore,FI_E_Demand,2050,1.0
FI_Wind_Onshore,FI_E_Demand,2050,1.0
FI_electrolyzer,FI_H_Demand,2050,0.65
FR_Battery,FR_E_Demand,2050,0.955
FR_E_Demand,BE_E_Demand,2050,
FR_E_Demand,DE_E_Demand,2050,
FR_E_Demand,FR_Pump_Hydro_Closed,2050,0.875
FR_E_Demand,FR_Pump_Hydro_Open,2050,0.875
FR_E_Demand,FR_electrolyzer,2050,1.0
FR_Gas,FR_E_Demand,2050,1.0
FR_Hydro,FR_E_Demand,2050,1.0
FR_Hydro_Reservoir,FR_E_Demand,2050,1.0
FR_Nuclear,FR_E_Demand,2050,1.0
FR_OCGT,FR_E_Demand,2050,1.0
FR_Pump_Hydro_Closed,FR_E_Demand,2050,0.875
FR_Pump_Hydro_Open,FR_E_Demand,2050,0.875
FR_Solar,FR_E_Demand,2050,1.0
FR_Wind_Offshore,FR_E_Demand,2050,1.0
FR_Wind_Onshore,FR_E_Demand,2050,1.0
FR_electrolyzer,FR_H_Demand,2050,0.65
GR_Battery,GR_E_Demand,2050,0.955
GR_E_Demand,GR_Battery,2050,0.955
GR_E_Demand,GR_Pump_Hydro_Closed,2050,0.875
GR_E_Demand,GR_Pump_Hydro_Open,2050,0.875
GR_E_Demand,GR_electrolyzer,2050,1.0
GR_E_Demand,IT_E_Demand,2050,
GR_Gas,GR_E_Demand,2050,1.0
GR_Hydro,GR_E_Demand,2050,1.0
GR_Hydro_Reservoir,GR_E_Demand,2050,1.0
GR_OCGT,GR_E_Demand,2050,1.0
GR_Pump_Hydro_Closed,GR_E_Demand,2050,0.875
GR_Pump_Hydro_Open,GR_E_Demand,2050,0.875
GR_Solar,GR_E_Demand,2050,1.0
GR_Wind_Offshore,GR_E_Demand,2050,1.0
GR_Wind_Onshore,GR_E_Demand,2050,1.0
GR_electrolyzer,GR_H_Demand,2050,0.65
HR_Battery,HR_E_Demand,2050,0.955
HR_Coal,HR_E_Demand,2050,1.0
