asset,commission_year,investment_cost,investment_limit,investment_cost_storage_energy,investment_limit_storage_energy
ES_Battery,2050,77577.85030576670,96.0,19394.4625764417,192.0
ES_E_Demand,2050,,,0.0000000000,0.0
ES_Gas,2050,95000.00000000000,44.76,0.0000000000,0.0
ES_H_Demand,2050,,,0.0000000000,0.0
ES_Hydro,2050,,44.517,0.0000000000,0.0
ES_Hydro_Reservoir,2050,,32.916,0.0000000000,0.0
ES_Nuclear,2050,950000.00000000000,0.0,0.0000000000,0.0
ES_Pump_Hydro_Closed,2050,,20.598,0.0000000000,0.0
ES_Pump_Hydro_Open,2050,,8.049,0.0000000000,0.0
ES_Solar,2050,34342.98027538492,444.89099999999996,0.0000000000,0.0
ES_Wind_Offshore,2050,119732.61777406993,17.133000000000003,0.0000000000,0.0
ES_Wind_Onshore,2050,77356.32865703155,298.64700000000005,0.0000000000,0.0
ES_electrolyzer,2050,800000.00000000000,62.910958889999996,0.0000000000,0.0
FI_Battery,2050,77577.85030576670,17.660999999999998,19394.4625764417,35.322
FI_E_Demand,2050,,,0.0000000000,0.0
FI_Gas,2050,95000.00000000000,0.7020000000000001,0.0000000000,0.0
FI_H_Demand,2050,,,0.0000000000,0.0
FI_Hydro_Reservoir,2050,,9.711,0.0000000000,0.0
FI_Nuclear,2050,950000.00000000000,30.0,0.0000000000,0.0
FI_OCGT,2050,55000.00000000000,0.261,0.0000000000,0.0
FI_Solar,2050,34342.98027538492,143.30100000000002,0.0000000000,0.0
FI_Wind_Offshore,2050,119732.61777406993,36.0,0.0000000000,0.0
FI_Wind_Onshore,2050,77356.32865703155,263.72700000000003,0.0000000000,0.0
FI_electrolyzer,2050,800000.00000000000,16.232876712,0.0000000000,0.0
FR_Battery,2050,77577.85030576670,73.383,19394.4625764417,146.766
FR_E_Demand,2050,,,0.0000000000,0.0
FR_Gas,2050,95000.00000000000,32.517,0.0000000000,0.0
FR_H_Demand,2050,,,0.0000000000,0.0
FR_Hydro,2050,,70.341,0.0000000000,0.0
FR_Hydro_Reservoir,2050,,26.355,0.0000000000,0.0
FR_Nuclear,2050,950000.00000000000,150.417,0.0000000000,0.0
FR_OCGT,2050,55000.00000000000,0.0,0.0000000000,0.0
FR_Pump_Hydro_Closed,2050,,5.85,0.0000000000,0.0
FR_Pump_Hydro_Open,2050,,5.550000000000001,0.0000000000,0.0
FR_Solar,2050,34342.98027538492,580.7819999999999,0.0000000000,0.0
FR_Wind_Offshore,2050,119732.61777406993,130.71,0.0000000000,0.0
FR_Wind_Onshore,2050,77356.32865703155,240.0,0.0000000000,0.0
FR_electrolyzer,2050,800000.00000000000,20.410958903999997,0.0000000000,0.0
GR_Battery,2050,77577.85030576670,99.144,19394.4625764417,198.288
GR_E_Demand,2050,,,0.0000000000,0.0
GR_Gas,2050,95000.00000000000,15.111,0.0000000000,0.0
GR_H_Demand,2050,,,0.0000000000,0.0
GR_Hydro,2050,,10.565999999999999,0.0000000000,0.0
GR_Hydro_Reservoir,2050,,8.232000000000001,0.0000000000,0.0
GR_OCGT,2050,55000.00000000000,0.0,0.0000000000,0.0
GR_Pump_Hydro_Closed,2050,,2.04,0.0000000000,0.0
GR_Pump_Hydro_Open,2050,,2.097,0.0000000000,0.0
GR_Solar,2050,34342.98027538492,139.5,0.0000000000,0.0
GR_Wind_Offshore,2050,119732.61777406993,52.5,0.0000000000,0.0
GR_Wind_Onshore,2050,77356.32865703155,82.5,0.0000000000,0.0
GR_electrolyzer,2050,800000.00000000000,19.726027398,0.0000000000,0.0
HR_Battery,2050,77577.85030576670,1.095,19394.4625764417,2.19
HR_Coal,2050,420000.00000000000,0.0,0.0000000000,0.0
HR_E_Demand,2050,,,0.0000000000,0.0
HR_Gas,2050,95000.00000000000,0.0,0.0000000000,0.0
HR_H_Demand,2050,,,0.0000000000,0.0
HR_Hydro,2050,,6.033,0.0000000000,0.0
HR_Hydro_Reservoir,2050,,5.823,0.0000000000,0.0
HR_Pump_Hydro_Open,2050,,0.8430000000000001,0.0000000000,0.0
HR_Solar,2050,34342.98027538492,9.564,0.0000000000,0.0
HR_Wind_Offshore,2050,119732.61777406993,8.687999999999999,0.0000000000,0.0
HR_Wind_Onshore,2050,77356.32865703155,9.0,0.0000000000,0.0
HR_electrolyzer,2050,800000.00000000000,2.7739726019999997,0.0000000000,0.0
HU_Battery,2050,77577.85030576670,2.862,19394.4625764417,5.724
HU_E_Demand,2050,,,0.0000000000,0.0
