,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,NL00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,13,0.025974999999999998,0.10736,0.09252,0.029235,0.06769499999999999,0.1079575,0.11037250000000001,0.07653750000000001,0.029267500000000002,0.0412675,0.037125,0.1704525,0.10461,0.13788,0.0630775,0.1456775,0.135655,0.1070725,0.0280025,0.1740375,0.036615,0.0531025,0.101515,0.0572475,0.0804275,0.05298750000000001,0.0872775,0.08597750000000001,0.09316749999999999,0.0681525,0.0742,0.0881825,0.1796875,0.15508750000000002,0.11336500000000001,0.035455
01.01.,14,0.02022,0.1121825,0.0808825,0.02515,0.0641225,0.12069750000000001,0.105905,0.07055499999999999,0.0307025,0.0336875,0.032405,0.20837,0.10612500000000001,0.1475225,0.04512,0.16554000000000002,0.1425325,0.10333,0.024855,0.20921250000000002,0.030379999999999997,0.042300000000000004,0.098235,0.053457500000000005,0.074375,0.0485675,0.10389000000000001,0.07564,0.0852675,0.06768249999999999,0.06914999999999999,0.0932075,0.20270749999999998,0.19159,0.11504249999999999,0.02984
01.01.,15,0.011497499999999999,0.12195,0.059052499999999994,0.0161325,0.05422,0.1431675,0.09338750000000001,0.05765,0.02417,0.02069,0.02195,0.24636999999999998,0.104795,0.14763,0.0227525,0.184415,0.1473425,0.0912875,0.01683,0.24536,0.018775,0.025325,0.090075,0.0428125,0.060907499999999996,0.036457500000000004,0.13341750000000002,0.0562025,0.07094500000000001,0.061845,0.05836499999999999,0.10346250000000001,0.219215,0.2322125,0.117165,0.01907
01.01.,16,0.005090000000000001,0.049324999999999994,0.024675,0.00748,0.02301,0.05935499999999999,0.0396975,0.0242675,0.0109675,0.009595,0.0101,0.0990125,0.045415000000000004,0.0617425,0.01046,0.07695250000000001,0.0664125,0.038455,0.0098,0.09891249999999999,0.010025,0.011494999999999998,0.03649,0.0199175,0.0362725,0.0220075,0.0708975,0.0300425,0.0404775,0.034215,0.0322575,0.0586325,0.0979,0.1024325,0.0627425,0.01005
01.01.,17,6.75e-05,0.0023625,0.0013124999999999999,0.00047,0.0012399999999999998,0.0027775,0.0020150000000000003,0.0013175,0.0006375,0.00056,0.00068,0.0039375,0.00296,0.0034875,0.0007125,0.0039075,0.0039425,0.0025624999999999997,0.0012274999999999999,0.00496,0.001075,0.0008125,0.00232,0.00165,0.0032875,0.0024775,0.0049125,0.0028374999999999997,0.0034349999999999997,0.0029525,0.0029175,0.004574999999999999,0.0055425000000000006,0.006477500000000001,0.0044,0.000905
01.01.,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
