id,scenario,probability,solution,total_cost
1,1,0.025,,185.4019330464156
2,2,0.025,,187.40079414630353
3,3,0.025,,187.90964099218903
4,4,0.025,,159.54847322326057
5,5,0.025,,193.89003428272477
6,6,0.025,,188.3432615726277
7,7,0.025,,200.72841446819223
8,8,0.025,,185.75776458737917
9,9,0.025,,206.42643010513132
10,10,0.025,,222.31743462657
11,11,0.025,,235.77215300451516
12,12,0.025,,211.5794611105355
13,13,0.025,,271.74046050851274
14,14,0.025,,275.85027840931673
15,15,0.025,,290.46085070067767
16,16,0.025,,269.6171957144644
17,17,0.025,,234.70755252480964
18,18,0.025,,258.06157933651343
19,19,0.025,,280.8740496038106
20,20,0.025,,285.905481949039
21,21,0.025,,275.7241161814614
22,22,0.025,,265.4352970676513
23,23,0.025,,266.04513228600183
24,24,0.025,,300.4677306632811
25,25,0.025,,254.64202590447704
26,26,0.025,,291.4729799489671
27,27,0.025,,255.22035263281626
28,28,0.025,,274.1128031585788
29,29,0.025,,272.2423904487703
30,30,0.025,,282.045121094768
31,31,0.025,,241.3049755514741
32,32,0.025,,272.10248902852186
33,33,0.025,,303.7163255209634
34,34,0.025,,303.0691713270036
35,35,0.025,,313.98207090747286
36,36,0.025,,292.0325189665892
37,37,0.025,,318.53406055377724
38,38,0.025,,326.77013673876434
39,39,0.025,,304.61327943690674
40,40,0.025,,330.69463943496345
