id,scenario,probability,solution,total_cost
1,1,0.025,,178.44221762458525
2,2,0.025,,177.79334307131504
3,3,0.025,,182.3744763963421
4,4,0.025,,188.70154352552626
5,5,0.025,,183.1527947515177
6,6,0.025,,181.1398223175123
7,7,0.025,,178.60119039557932
8,8,0.025,,216.28546591595077
9,9,0.025,,216.82410299721036
10,10,0.025,,208.90375018741818
11,11,0.025,,221.08254007639235
12,12,0.025,,220.79450127443675
13,13,0.025,,225.20037471110314
14,14,0.025,,243.04756204394474
15,15,0.025,,211.2151433435817
16,16,0.025,,215.65539664315085
17,17,0.025,,253.20691542306864
18,18,0.025,,274.9707773935247
19,19,0.025,,284.52498193348856
20,20,0.025,,260.99093274561505
21,21,0.025,,286.2368214573502
22,22,0.025,,295.5051078180958
23,23,0.025,,241.20728933835315
24,24,0.025,,235.633776904008
25,25,0.025,,267.50353812942734
26,26,0.025,,246.99839651139837
27,27,0.025,,299.1356224556609
28,28,0.025,,298.551969255787
29,29,0.025,,303.5287972044872
30,30,0.025,,267.3050654198708
31,31,0.025,,321.98260996335
32,32,0.025,,321.14776223357865
33,33,0.025,,321.468003392167
34,34,0.025,,309.15806972013945
35,35,0.025,,346.0221030598294
36,36,0.025,,308.1419901113712
37,37,0.025,,292.144632122305
38,38,0.025,,339.9219040159339
39,39,0.025,,299.21142538951426
40,40,0.025,,334.5697165514753
