id,scenario,probability,operational_cost
1,1,0.1,7.574225306998421e6
2,2,0.1,9.279926468986243e6
3,3,0.1,8.549308320538536e6
4,4,0.1,8.73428648295033e6
5,5,0.1,9.062713577817252e6
6,6,0.1,1.128159621244492e7
7,7,0.1,1.1902447305022122e7
8,8,0.1,1.3768295844618727e7
9,9,0.1,1.4162966620577347e7
10,10,0.1,1.3524481937122812e7
