id,scenario,probability,solution,total_cost
1,1,0.025,,153.1593597626123
2,2,0.025,,160.3732826960208
3,3,0.025,,175.17430396411112
4,4,0.025,,179.36033439748448
5,5,0.025,,169.7973357835199
6,6,0.025,,167.48545839344246
7,7,0.025,,202.17334769175125
8,8,0.025,,194.51749579644
9,9,0.025,,195.49371575463564
10,10,0.025,,205.7488003638498
11,11,0.025,,165.62259432671118
12,12,0.025,,212.1252961436694
13,13,0.025,,202.9874703578359
14,14,0.025,,223.89236579574685
15,15,0.025,,206.92141419411766
16,16,0.025,,193.26973505789528
17,17,0.025,,194.20674705880705
18,18,0.025,,194.34284352598485
19,19,0.025,,247.3219993235019
20,20,0.025,,229.08181381776373
21,21,0.025,,248.684878019955
22,22,0.025,,266.0667659068085
23,23,0.025,,264.0462464305213
24,24,0.025,,239.71481452797522
25,25,0.025,,278.2036487076888
26,26,0.025,,252.91543298300397
27,27,0.025,,230.10483228447754
28,28,0.025,,269.72902496799503
29,29,0.025,,229.95943874687063
30,30,0.025,,221.79018277084003
31,31,0.025,,230.43869484792293
32,32,0.025,,215.7645644455446
33,33,0.025,,226.12599361475992
34,34,0.025,,278.5538565874658
35,35,0.025,,286.8829852625086
36,36,0.025,,277.7468020887081
37,37,0.025,,300.473395015178
38,38,0.025,,304.9715653271838
39,39,0.025,,323.1626940026046
40,40,0.025,,291.9699814129603
