id,scenario,probability,solution,total_cost
1,1,0.025,,160.3619394392468
2,2,0.025,,167.42131684818418
3,3,0.025,,182.90035153252194
4,4,0.025,,185.66224022787182
5,5,0.025,,177.54306420326407
6,6,0.025,,173.8112265586812
7,7,0.025,,211.34265450311608
8,8,0.025,,202.18359627248577
9,9,0.025,,203.72912102584357
10,10,0.025,,215.00923619687939
11,11,0.025,,174.1328051468605
12,12,0.025,,219.963753107104
13,13,0.025,,212.23296473390042
14,14,0.025,,231.33127936181918
15,15,0.025,,217.17325995065852
16,16,0.025,,202.68656896218818
17,17,0.025,,201.7928652498021
18,18,0.025,,203.28923016017205
19,19,0.025,,260.68396484423124
20,20,0.025,,243.7623025432631
21,21,0.025,,260.7652030140496
22,22,0.025,,277.963404495985
23,23,0.025,,275.26645216750455
24,24,0.025,,253.53365295828237
25,25,0.025,,288.0990219731815
26,26,0.025,,266.0036527978645
27,27,0.025,,243.7931337880025
28,28,0.025,,280.4670342788029
29,29,0.025,,244.39801038347258
30,30,0.025,,235.01061473231033
31,31,0.025,,243.84674742795744
32,32,0.025,,229.27025519498747
33,33,0.025,,240.8214538474615
34,34,0.025,,293.8727667965276
35,35,0.025,,301.72098981000175
36,36,0.025,,291.84632520704884
37,37,0.025,,314.92807280094104
38,38,0.025,,318.48739756894787
39,39,0.025,,335.58510050533215
40,40,0.025,,306.14802454508566
