scenario,ccgt,ocgt,solar,wind,wind_offshore,electrolizer,battery,objective_value,termination_status,solve_time
22,29208.74332230595,3481.2482609266503,7668.840021068956,33186.26397746144,0.0,0.1004001943801274,5479.4552344627555,1.3756908064332241e7,OPTIMAL,12.9626869
23,33304.02930553144,1753.0557506333157,3060.3904787376337,0.0,0.0,0.10448998572825957,1912.810917779847,1.4085960228712292e7,OPTIMAL,7.0241194
24,29849.19484940719,3888.878322302424,0.0,34807.44331438384,0.0,0.10550433466354761,4431.146244444995,1.3402053397534145e7,OPTIMAL,5.800036
25,34016.680133495815,1170.6068810340876,346.5847834780827,0.0,0.0,0.10035129705459372,3626.3086545634465,1.4418712741351191e7,OPTIMAL,8.4493044
26,27068.613305352046,4267.079561082538,20719.050441856067,31409.374376382504,0.0,0.11100866932709504,4532.795660654879,1.3593402725697365e7,OPTIMAL,6.6468134
27,29490.944958140422,3396.5979209410725,0.0,32306.78095242991,0.0,0.10455166135639518,5688.087724544021,1.3470125351643685e7,OPTIMAL,4.8097431
28,30559.22591897746,3560.674117621736,0.0,29544.78826738694,0.0,0.10448998572825972,3176.0276679060917,1.3770208882473832e7,OPTIMAL,7.8477024
29,30133.31873415253,2985.130197911328,3513.933873271008,28281.81119048287,0.0,0.10040474037711677,4588.075585412539,1.4150693071433855e7,OPTIMAL,16.3362881
30,28733.61430690943,2886.6946355664654,8266.575188528741,29627.085060498284,0.0,0.10265277399102485,3408.166396500181,1.3593764678559942e7,OPTIMAL,4.5643904
31,28398.023021707533,2450.3380135808384,9643.732642319741,31383.214582781296,0.0,0.1002635379827776,6064.209021658644,1.3398322951363306e7,OPTIMAL,5.4491381
32,29599.762017771987,2680.299976183311,11743.728143540364,28970.52246238473,0.0,0.10048860578494866,6021.433581227596,1.3808314369091734e7,OPTIMAL,8.4452946
33,29385.78298232194,3357.594850487909,3319.5607770171737,32265.503871095327,0.0,0.102171434775528,4805.154436006895,1.3471507356635828e7,OPTIMAL,6.3441428
34,28539.25292255638,2604.1239192767207,8267.267695993874,33449.20656999739,0.0,0.10350127796645779,4188.4994914445015,1.3427784783113621e7,OPTIMAL,5.6255892
35,29276.886548873314,3157.0282543638896,3675.9264851684675,30985.15746271744,0.0,0.10845308537616222,3402.228610219594,1.3570424489356378e7,OPTIMAL,8.059648
36,28442.013095723018,3592.3668808140815,10679.954428424579,30843.148941781328,0.0,0.10376546530392683,3598.876753187791,1.3633721929220174e7,OPTIMAL,6.9160158
37,33255.32852655367,3000.7062999643313,0.0,36895.61508876807,0.0,0.1002039395290161,9109.226934282211,1.5579342316302292e7,OPTIMAL,7.2622297
38,34547.680944488704,2622.1814554547273,0.0,36535.530012546085,0.0,0.1033599014428909,1633.8633486765607,1.5137278458860358e7,OPTIMAL,6.1521488
