case_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,value_at_risk_threshold_mu_red,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand_benchmark,lole_e_demand_benchmark,num_loss_of_load_h2_demand_benchmark,lole_h2_demand_benchmark,water_borrowed_benchmark,value_at_risk_threshold_mu_benchmark,time_to_resolve_baseline,objective_value_resolve_baseline,termination_status_resolve_baseline,num_loss_of_load_e_demand_baseline,lole_e_demand_baseline,num_loss_of_load_h2_demand_baseline,lole_h2_demand_baseline,water_borrowed_baseline,value_at_risk_threshold_mu_baseline,scenario_set,seed,number_of_scenarios
0_HourlyBaseline,1,Gurobi,0.0,5.682308959,114.455243417,613.402667709,25.80592725,546.289595541321,OPTIMAL,0.0,2452810,1752018,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0,0.0,0.0,325.222874588712,full,2,10
convex_convex_per_rp_12_benchmark,12,Gurobi,12.76104975,0.50272425,12.119249125,1.656040292,5.318755125,537.5919745066152,OPTIMAL,0.0,91030,64918,0.0,0.0,,0,0.0,0,0.0,0.0,314.25718476750967,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,full,2,10
convex_convex_per_rp_12_reduced_scenario_set,12,Gurobi,3.167433041,0.306664042,7.821330166,0.513294459,0.191778166,540.2423151437292,OPTIMAL,271.3307096291593,27309,19481,0.180124834,538.4174139597983,OPTIMAL,0,0.0,0,0.0,0.0,324.55282254791126,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,reduced,2,10
convex_convex_per_rp_12_reduced_scenario_set,12,Gurobi,3.167433041,0.306664042,7.821330166,0.513294459,0.191778166,540.2423151437292,OPTIMAL,271.3307096291593,27309,19481,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,28.181887,550.6538509709849,OPTIMAL,0,0.0,0,0.0,0.0,330.74447474666283,reduced,2,10
