milestone_year,scenario,timestep,solar,wind_offshore,wind_onshore,demand,hydro_inflow
2030,3,1,0.0,0.9496943487319701,0.8163602544657612,0.5077290810486217,0.8306878306878307
2030,3,2,0.0,0.9453638497228798,0.7506082768966373,0.5045107808365704,0.8306878306878307
2030,3,3,0.0,0.9336739592866293,0.6517397122445405,0.49677700838822275,0.8306878306878307
2030,3,4,0.0,0.9168284165512726,0.5494699418518327,0.4987661618720562,0.8306878306878307
2030,3,5,0.0,0.8916175947030633,0.5003187449149934,0.500002345699863,0.8306878306878307
2030,3,6,0.0,0.8474626238088229,0.46673701938006346,0.5150945786184766,0.8306878306878307
2030,3,7,0.0,0.7702767071712172,0.4055281956355201,0.5275314792921616,0.8306878306878307
2030,3,8,0.0,0.6798440747276125,0.35146695789398164,0.5428301337987202,0.8306878306878307
2030,3,9,0.0,0.6230908965548543,0.35015282205444365,0.5497405655951509,0.8306878306878307
2030,3,10,0.0022225,0.628513057223595,0.37903583979874383,0.5577229822289779,0.8306878306878307
2030,3,11,0.008307499999999999,0.6189976049351749,0.4087429691629517,0.569554692338006,0.8306878306878307
2030,3,12,0.0160525,0.5719222346929255,0.40534559879050636,0.5843654412730583,0.8306878306878307
2030,3,13,0.029267500000000002,0.46905840382735986,0.385794891834973,0.5946560265720882,0.8306878306878307
2030,3,14,0.0307025,0.37077200043973274,0.3383195929710907,0.5919795830283924,0.8306878306878307
2030,3,15,0.02417,0.3573752882611209,0.3414441442372457,0.5922821783107208,0.8306878306878307
2030,3,16,0.0109675,0.4210340384250937,0.4067029601091251,0.5973230873163317,0.8306878306878307
2030,3,17,0.0006375,0.47315375960626144,0.4564017758343901,0.6126850757191916,0.8306878306878307
2030,3,18,0.0,0.4733372874767362,0.4871175553423531,0.6264379140160259,0.8306878306878307
2030,3,19,0.0,0.458413406481877,0.5212838008044117,0.6337025464917714,0.8306878306878307
2030,3,20,0.0,0.4972530730144257,0.5620043396560434,0.6228044249282216,0.8306878306878307
2030,3,21,0.0,0.596209476461417,0.6019467175783098,0.6005460789281091,0.8306878306878307
2030,3,22,0.0,0.7286093755437127,0.6572772637633663,0.5843396385745652,0.8306878306878307
2030,3,23,0.0,0.8461882796926721,0.7116295003652257,0.5662003415339001,0.8306878306878307
2030,3,24,0.0,0.9154328384035639,0.7598377697746336,0.546768563868716,0.8306878306878307
2030,3,25,0.0,0.9422421569718256,0.7901219535730687,0.5104829326877968,0.8306878306878307
2030,3,26,0.0,0.9485814464373757,0.8118529634564575,0.5004855598716433,0.8306878306878307
2030,3,27,0.0,0.9482523229882294,0.8101089450973444,0.49015978907466834,0.8306878306878307
2030,3,28,0.0,0.9441958582759215,0.7845061200766327,0.49109103192028375,0.8306878306878307
2030,3,29,0.0,0.9400475711728021,0.7520958508914604,0.49036855636247634,0.8306878306878307
2030,3,30,0.0,0.9316676611410643,0.7086658574464076,0.5046749798269813,0.8306878306878307
2030,3,31,0.0,0.9318972239291482,0.656610185813337,0.5457599129276212,0.8306878306878307
2030,3,32,0.0,0.9357144793841851,0.6509911557112035,0.5444955807014581,0.8306878306878307
2030,3,33,0.0,0.9416300908102572,0.6750115703147269,0.6339910675749216,0.8306878306878307
