id,scenario,probability,solution,total_cost
1,1,0.025,,191.86064347207454
2,2,0.025,,183.82134844949962
3,3,0.025,,187.52617773045372
4,4,0.025,,197.00338387667296
5,5,0.025,,173.70451632167914
6,6,0.025,,176.57423825407187
7,7,0.025,,173.05486066445127
8,8,0.025,,174.8732352646978
9,9,0.025,,193.34571755832886
10,10,0.025,,213.7876686502336
11,11,0.025,,222.98363387569728
12,12,0.025,,222.1254726301038
13,13,0.025,,214.3803678946026
14,14,0.025,,228.41072034935073
15,15,0.025,,226.9147076208112
16,16,0.025,,207.77406754035053
17,17,0.025,,224.1212209750527
18,18,0.025,,215.289558625874
19,19,0.025,,249.07322673459728
20,20,0.025,,216.52587242618492
21,21,0.025,,217.14638870819584
22,22,0.025,,216.9655487886334
23,23,0.025,,222.01474571299136
24,24,0.025,,283.2881581054776
25,25,0.025,,278.61879566950046
26,26,0.025,,288.28555123614444
27,27,0.025,,268.2260643667466
28,28,0.025,,301.06588143635685
29,29,0.025,,257.8547513296721
30,30,0.025,,275.08744669752303
31,31,0.025,,307.1643741830125
32,32,0.025,,326.21683576329394
33,33,0.025,,322.65768755261746
34,34,0.025,,304.9561606500328
35,35,0.025,,295.41610261140653
36,36,0.025,,355.26949748735296
37,37,0.025,,317.2771436465036
38,38,0.025,,300.8579251621007
39,39,0.025,,342.28847736305744
40,40,0.025,,315.2168234017293
