id,scenario,probability,solution,total_cost
1,1,0.025,,187.76934316923794
2,2,0.025,,163.01908005911355
3,3,0.025,,184.10772041978194
4,4,0.025,,155.13821028218163
5,5,0.025,,189.13858779931368
6,6,0.025,,191.0749167142354
7,7,0.025,,167.1873303058214
8,8,0.025,,191.28196656401005
9,9,0.025,,178.74645988583228
10,10,0.025,,177.96671005399915
11,11,0.025,,196.86561918766722
12,12,0.025,,190.38462678432458
13,13,0.025,,169.95660723095475
14,14,0.025,,169.84974890058828
15,15,0.025,,170.50913227099835
16,16,0.025,,169.83604353820314
17,17,0.025,,214.41672928158852
18,18,0.025,,220.51081091906283
19,19,0.025,,200.38254571129917
20,20,0.025,,244.6584205042539
21,21,0.025,,264.15314841645005
22,22,0.025,,263.5993284754022
23,23,0.025,,247.92585168513196
24,24,0.025,,241.29162740549575
25,25,0.025,,276.60572434280647
26,26,0.025,,254.17464199599812
27,27,0.025,,293.1300469292129
28,28,0.025,,263.3872634719177
29,29,0.025,,236.52797255376422
30,30,0.025,,230.2539625225996
31,31,0.025,,302.78422963549036
32,32,0.025,,315.105535908647
33,33,0.025,,259.5995024739496
34,34,0.025,,279.116326352922
35,35,0.025,,311.01624294789747
36,36,0.025,,299.44843096219057
37,37,0.025,,292.70937918113714
38,38,0.025,,307.6442114445734
39,39,0.025,,306.3001454579178
40,40,0.025,,293.7158933211347
