milestone_year,scenario,timestep,solar,wind_offshore,wind_onshore,demand,hydro_inflow
2030,3,1,0.0,0.3888561512800295,0.16149854346847317,19009.2,434.0
2030,3,2,0.0,0.4015590177044951,0.16630201971050432,18914.3,434.0
2030,3,3,0.0,0.39096001102554645,0.16835523405629532,18425.3,434.0
2030,3,4,0.0,0.3776408650040485,0.1681396011043009,18221.7,434.0
2030,3,5,0.0,0.3349642986631543,0.1671262459839154,18133.5,434.0
2030,3,6,0.0,0.30025255438240506,0.1656305470459227,18668.2,434.0
2030,3,7,0.0,0.27780511990049644,0.167993850721674,19063.8,434.0
2030,3,8,0.0,0.26885813460787683,0.1760315417443074,19606.0,434.0
2030,3,9,0.0,0.27839530837058885,0.18986776657419085,19748.4,434.0
2030,3,10,0.007595,0.2997166531012855,0.1909466752051181,20119.2,434.0
2030,3,11,0.0233325,0.315330544802096,0.18181877620032966,20737.3,434.0
2030,3,12,0.0402575,0.3386987137536233,0.16569001800705113,21214.3,434.0
2030,3,13,0.0572475,0.40770948144882496,0.17502816854396083,21584.0,434.0
2030,3,14,0.053457500000000005,0.508855880189423,0.18350133771735433,21538.0,434.0
2030,3,15,0.0428125,0.5992118701734434,0.19406095425879083,21551.5,434.0
2030,3,16,0.0199175,0.6870261848025921,0.2073539230844862,21741.0,434.0
2030,3,17,0.00165,0.7113219927240647,0.24539970401371802,22362.6,434.0
2030,3,18,0.0,0.7514655352425114,0.30016547825279327,23433.5,434.0
2030,3,19,0.0,0.7757972287153033,0.3623525925564868,23688.7,434.0
2030,3,20,0.0,0.8243339809104234,0.40356133792730026,23268.9,434.0
2030,3,21,0.0,0.87054349935409,0.4324051235878,22516.0,434.0
2030,3,22,0.0,0.899022172002797,0.45843267151315764,21960.0,434.0
2030,3,23,0.0,0.9083692240265034,0.47157037704804133,21272.3,434.0
2030,3,24,0.0,0.9158397103242705,0.4735862726895028,20499.1,434.0
2030,3,25,0.0,0.911599939735894,0.4640251421482581,19392.4,434.0
2030,3,26,0.0,0.9124345074062429,0.46165648190085246,18969.1,434.0
2030,3,27,0.0,0.9195764034074778,0.4475563038300479,18523.2,434.0
2030,3,28,0.0,0.9215650511910691,0.4414046597047064,18474.8,434.0
2030,3,29,0.0,0.9231238838772559,0.4428027553127073,18474.6,434.0
2030,3,30,0.0,0.923060553597991,0.43572287318462183,18890.4,434.0
2030,3,31,0.0,0.9222785940089202,0.42877841100403435,20505.8,434.0
2030,3,32,0.0,0.9229317588732628,0.4293326629429919,20230.2,434.0
2030,3,33,1.25e-5,0.9219464513551953,0.4385161180794185,23772.6,434.0
2030,3,34,0.021845,0.925589886293643,0.42455721935039725,24724.7,434.0
