id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,ccgt,2030,false,0.8,,1.1251797276618298
2,wind,2030,false,0.4,,2.6598401189435394
3,solar,2030,false,0.5,,0.6142308171535203
4,ocgt,2030,false,0.1,,0.0
5,electrolizer,2030,false,0.1,,1.0
6,wind_offshore,2030,false,0.4,,0.0
7,battery,2030,false,0.05,,0.0
