scenario,milestone_year,period,rep_period,weight
10,2030,1,1,0.4574851445120924
10,2030,1,3,0.10694971664351173
10,2030,1,7,0.3305357417460521
10,2030,1,8,0.022331221073435124
10,2030,1,9,0.05065797074480928
10,2030,1,10,0.03204020528009944
10,2030,2,1,0.6632153598391864
10,2030,2,3,0.02144751632989283
10,2030,2,8,0.022275190659297003
10,2030,2,10,0.29306193317162366
10,2030,3,1,0.6768154151203816
10,2030,3,3,0.10219394743344425
10,2030,3,10,0.22099063744617414
10,2030,4,1,0.6491653114457194
10,2030,4,10,0.35083468855428057
10,2030,5,1,0.7066322893038953
10,2030,5,8,0.09048582556312568
10,2030,5,10,0.202881885132979
10,2030,6,1,0.6171742410262524
10,2030,6,3,0.33375435775810686
10,2030,6,9,0.04907140121564082
10,2030,7,1,0.6156042293616422
10,2030,7,4,0.08676816048184735
10,2030,7,8,0.10281854646334512
10,2030,7,10,0.1948090636931654
10,2030,8,1,0.2701360508481022
10,2030,8,4,0.06217050028432133
10,2030,8,9,0.6676934488675764
10,2030,9,1,0.31020338242879675
10,2030,9,4,0.5811321603555332
10,2030,9,8,0.10866445721567008
10,2030,10,1,0.3162115747088521
10,2030,10,4,0.029809878796774148
10,2030,10,7,0.2695214330886251
10,2030,10,9,0.38445711340574856
10,2030,11,1,0.43429805803928784
10,2030,11,4,0.04348214992733014
10,2030,11,7,0.4396839770902687
10,2030,11,8,0.057048289566797784
10,2030,11,9,0.02548752537631555
10,2030,12,1,0.8576883286876619
10,2030,12,4,0.0743711279034965
10,2030,12,9,0.041823544739842386
10,2030,12,11,0.02611699866899928
10,2030,13,1,0.8006469402607498
10,2030,13,4,0.19935305973925024
10,2030,14,1,0.7528302107840265
10,2030,14,3,0.2150826201027137
10,2030,14,9,0.03208716911325983
10,2030,15,1,0.8033281385390549
10,2030,15,8,0.11326032299143153
10,2030,15,12,0.08341153846951352
10,2030,16,1,1.0
10,2030,17,1,0.9093656570053389
10,2030,17,3,0.04910667726625157
10,2030,17,9,0.026414286472869284
10,2030,17,11,0.01511337925554034
10,2030,18,1,0.7986007718387084
10,2030,18,4,0.2013992281612917
10,2030,19,1,0.4712065261566392
10,2030,19,4,0.5287934738433607
10,2030,20,1,0.4923060835975708
10,2030,20,3,0.26239169565208953
10,2030,20,7,0.0
10,2030,20,9,0.22699633361945573
10,2030,20,12,0.01830588713088394
10,2030,21,1,0.8169121430506717
10,2030,21,3,0.023480926271259396
10,2030,21,5,0.08104940577250919
10,2030,21,10,0.07855752490555967
10,2030,22,1,0.6661981714892432
10,2030,22,4,0.32180790131710285
10,2030,22,8,0.011993927193653948
10,2030,23,1,0.20962765999408436
10,2030,23,9,0.7447558621143192
10,2030,23,12,0.04561647789159637
10,2030,24,1,0.37774131796115107
10,2030,24,4,0.5290447901295324
10,2030,24,7,0.044775547358739405
10,2030,24,11,0.04843834455057715
10,2030,25,4,0.6189343669493415
10,2030,25,12,0.3810656330506585
10,2030,26,1,0.041727279908033474
10,2030,26,4,0.23101835095565712
10,2030,26,8,0.0970248520852614
10,2030,26,11,0.07007727813009741
10,2030,26,12,0.5601522389209506
10,2030,27,4,0.019585915113064137
10,2030,27,7,0.026670514333978303
10,2030,27,8,0.03375218690365335
10,2030,27,11,0.055902494726521486
10,2030,27,12,0.8640888889227827
10,2030,28,2,0.020641690871024264
10,2030,28,4,0.031200093254063026
10,2030,28,5,0.02203907699087
10,2030,28,8,0.05436075148629114
10,2030,28,11,0.021946687752756804
10,2030,28,12,0.8498116996449947
10,2030,29,2,0.06860493713271537
10,2030,29,12,0.9313950628672846
10,2030,30,2,0.03845357350404136
10,2030,30,6,0.016616949851623295
10,2030,30,11,0.024691434054441238
10,2030,30,12,0.9202380425898942
10,2030,31,6,0.020561875327086008
10,2030,31,7,0.050148163209069695
10,2030,31,9,0.03685996380732447
10,2030,31,11,0.14291337550765132
10,2030,31,12,0.7495166221488685
10,2030,32,4,0.23375818767829112
10,2030,32,7,0.02818940243717268
10,2030,32,9,0.19896427124516253
10,2030,32,11,0.17224552347093275
10,2030,32,12,0.36684261516844097
10,2030,33,4,0.5972970813551474
10,2030,33,6,0.0169429551069209
10,2030,33,11,0.2805297675760749
10,2030,33,12,0.10523019596185697
10,2030,34,1,0.04735805885483981
10,2030,34,4,0.08135777747752379
10,2030,34,5,0.024606377731119483
10,2030,34,8,0.09065278496531681
10,2030,34,9,0.017746494766308067
10,2030,34,10,0.04482433603094492
