base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,value_at_risk_threshold_mu_red,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand_benchmark,lole_e_demand_benchmark,num_loss_of_load_h2_demand_benchmark,lole_h2_demand_benchmark,water_borrowed_benchmark,value_at_risk_threshold_mu_benchmark,time_to_resolve_baseline,objective_value_resolve_baseline,termination_status_resolve_baseline,num_loss_of_load_e_demand_baseline,lole_e_demand_baseline,num_loss_of_load_h2_demand_baseline,lole_h2_demand_baseline,water_borrowed_baseline,value_at_risk_threshold_mu_baseline,scenario_set,seed,number_of_scenarios
0_HourlyBenchmark,1,Gurobi,0.0,12.4496636,48.8317426,1137.415503292,30.9114095,546.289595541321,OPTIMAL,0.0,2452810,1752018,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0,0.0,0.0,325.222874588712,full,2,10
convex_convex_per_rp_24,24,Gurobi,0.0,0.9244163,3.27493,10.0136198,2.213668,497.2107311780216,OPTIMAL,0.0,160150,122518,0.0,0.0,,0,0.0,0,0.0,0.0,299.97220719002814,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,full,2,10
convex_convex_per_rp_24CCtwice,24,Gurobi,6.6370114,0.4943187,1.4707717,3.8455326,0.2136488,484.6517806245834,OPTIMAL,235.29232207028915,64060,49012,1.1467916,738.3848473940502,OPTIMAL,0,0.0,7,0.7,0.0,1575.8818785380543,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,reduced,2,10
convex_convex_per_rp_24CCtwice,24,Gurobi,6.6370114,0.4943187,1.4707717,3.8455326,0.2136488,484.6517806245834,OPTIMAL,235.29232207028915,64060,49012,0.0,0.0,,0,0.0,0,0.0,0.0,0.0,28.3561041,500.84046247184875,OPTIMAL,0,0.0,0,0.0,0.0,302.1156973424985,reduced,2,10
