base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,value_at_risk_threshold_mu_red,num_constraints,num_variables,time_to_resolve_full,objective_value_resolve_full,termination_status_resolve_full,num_loss_of_load_e_demand,lole_e_demand,num_loss_of_load_h2_demand,lole_h2_demand,water_borrowed,value_at_risk_threshold_mu_full,scenario_set,seed,number_of_scenarios
convex_conicalb_per,1,Gurobi,0.0,4.0358277,20.6983774,17.3188811,4.3332688,489.4127006469203,OPTIMAL,0.0,320300,245028,0.0,0.0,,0,0.0,0,0.0,0.0,524.7336375937352,full,2,20
convex_conicalb_per_rp_24CC,24,Gurobi,7.1580091,0.6312025,2.0021236,3.8956549,0.2954611,485.878704910023,OPTIMAL,458.6769150855143,96090,73514,0.9612215,489.9029185744807,OPTIMAL,0,0.0,0,0.0,0.0,525.2336984819764,reduced,2,20
