base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,value_at_risk_threshold_mu_red,num_constraints,num_variables,time_to_resolve_full,objective_value_resolve_full,termination_status_resolve_full,num_loss_of_load_e_demand,lole_e_demand,num_loss_of_load_h2_demand,lole_h2_demand,water_borrowed,value_at_risk_threshold_mu_full,scenario_set,seed,number_of_scenarios
convex_conicalb_per,1,Gurobi,0.0,1.344893375,6.294865167,5.699924333,1.234332167,490.05846647396794,OPTIMAL,0.0,160150,122518,0.0,0.0,,0,0.0,0,0.0,0.0,316.19068756436275,full,7,10
convex_conicalb_per_rp_24CC,24,Gurobi,3.223517167,0.177254166,0.929044208,1.004440083,0.116226083,474.8245529526524,OPTIMAL,219.12609698403492,48045,36761,0.125388208,490.1314911654575,OPTIMAL,0,0.0,0,0.0,0.0,318.2238058147136,reduced,7,10
