base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,value_at_risk_threshold_mu_red,num_constraints,num_variables,time_to_resolve_full,objective_value_resolve_full,termination_status_resolve_full,num_loss_of_load_e_demand,lole_e_demand,num_loss_of_load_h2_demand,lole_h2_demand,water_borrowed,value_at_risk_threshold_mu_full,scenario_set
convex_conicalb_per,1,Gurobi,0.0,6.4345655,21.3873267,30.8396523,5.2432385,511.6956693765959,OPTIMAL,0.0,480450,367538,0.0,0.0,,0,0.0,0,0.0,0.0,550.666578450839,full
convex_conicalb_per_rp_24CC,24,Gurobi,11.8365523,0.8074969,2.5193076,6.6156727,0.5596326,516.199902783321,OPTIMAL,486.7018896299703,128120,98016,1.2186587,512.0251908337799,OPTIMAL,0,0.0,0,0.0,0.0,552.7100941265528,reduced
