base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,value_at_risk_threshold_mu_red,num_constraints,num_variables,time_to_resolve_full,objective_value_resolve_full,termination_status_resolve_full,num_loss_of_load_e_demand,lole_e_demand,num_loss_of_load_h2_demand,lole_h2_demand,water_borrowed,value_at_risk_threshold_mu_full,scenario_set,seed,number_of_scenarios
convex_conicalb_per,1,Gurobi,0.0,2.156463833,11.552448375,32.880614791,2.565535167,508.2920056336812,OPTIMAL,0.0,640600,490048,0.0,0.0,,0,0.0,0,0.0,0.0,317.2771436465034,full,6,40
convex_conicalb_per_rp_24CC,24,Gurobi,6.177336708,0.248300875,1.289761209,2.8142865,0.191259083,496.7314570227697,OPTIMAL,227.55713968306637,96090,73514,1.104466833,508.3822070149226,OPTIMAL,0,0.0,0,0.0,0.0,321.94598666273185,reduced,6,40
