base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,value_at_risk_threshold_mu_red,num_constraints,num_variables,time_to_resolve_full,objective_value_resolve_full,termination_status_resolve_full,num_loss_of_load_e_demand,lole_e_demand,num_loss_of_load_h2_demand,lole_h2_demand,water_borrowed,value_at_risk_threshold_mu_full,scenario_set,seed,number_of_scenarios
convex_conicalb_per,1,Gurobi,0.0,2.175283792,12.146269917,31.19126225,3.087972209,515.6015802139193,OPTIMAL,0.0,640600,490048,0.0,0.0,,0,0.0,0,0.0,0.0,309.246267803205,full,5,40
convex_conicalb_per_rp_24CC,24,Gurobi,9.907916416,0.284184875,1.388308167,2.666655125,0.254613833,531.057592704413,OPTIMAL,264.93883242686786,96090,73514,2.088888917,515.6694446294327,OPTIMAL,0,0.0,0,0.0,0.0,310.3250620074641,reduced,5,40
