id,scenario,probability,solution,total_cost
1,1,0.025,,185.7758532887433
2,2,0.025,,179.95718565507568
3,3,0.025,,196.48122810260443
4,4,0.025,,174.77864132428735
5,5,0.025,,197.48868385341538
6,6,0.025,,198.71079842713706
7,7,0.025,,180.89597743642585
8,8,0.025,,178.47219878529944
9,9,0.025,,176.01876218600344
10,10,0.025,,178.17062544861918
11,11,0.025,,223.68438001840704
12,12,0.025,,209.2716847949112
13,13,0.025,,229.08765411936432
14,14,0.025,,232.3476587305961
15,15,0.025,,245.378596439006
16,16,0.025,,208.58008257944482
17,17,0.025,,219.15703181591908
18,18,0.025,,226.8088258349313
19,19,0.025,,275.32479795665273
20,20,0.025,,275.32682973689907
21,21,0.025,,261.5278310666986
22,22,0.025,,256.2346629037565
23,23,0.025,,280.14392128268037
24,24,0.025,,279.2218106610268
25,25,0.025,,303.42411311156604
26,26,0.025,,286.9868894766476
27,27,0.025,,258.52882740010705
28,28,0.025,,277.0830214323602
29,29,0.025,,250.28733888829385
30,30,0.025,,258.81536808086173
31,31,0.025,,307.51973645791577
32,32,0.025,,306.80494251037834
33,33,0.025,,311.2210044199488
34,34,0.025,,299.36703636658416
35,35,0.025,,329.3061050015761
36,36,0.025,,295.81304425100654
37,37,0.025,,327.75014783225805
38,38,0.025,,354.20968684677166
39,39,0.025,,317.26569436871256
40,40,0.025,,334.02894523092743
