id,scenario,probability,operational_cost
1,1,0.2,1.0384335065810319e7
2,2,0.2,9.960927729455067e6
3,3,0.2,1.0727864430467065e7
4,4,0.2,1.141861997949736e7
5,5,0.2,1.0658206045055347e7
