scenario,milestone_year,period,rep_period,weight
10,2030,20,5,0.6385143528926562
10,2030,20,16,0.03410585191646767
10,2030,21,1,0.8292835839521019
10,2030,21,3,0.04076472766309668
10,2030,21,6,0.030384328334957425
10,2030,21,14,0.07249785012583251
10,2030,21,20,0.027069509924011494
10,2030,22,1,0.45067978295031835
10,2030,22,4,0.08807806078144138
10,2030,22,8,0.4350048378618324
10,2030,22,15,0.0262373184064079
10,2030,23,1,0.2054026247970589
10,2030,23,12,0.7567251139869081
10,2030,23,21,0.017700754208170865
10,2030,23,23,0.020171507007862185
10,2030,24,1,0.2849064312781923
10,2030,24,4,0.12014198754989745
10,2030,24,8,0.28778005328694567
10,2030,24,18,0.3071715278849647
10,2030,25,1,0.012332855336010749
10,2030,25,4,0.21706304018335917
10,2030,25,15,0.31464148554057036
10,2030,25,18,0.14236901693874152
10,2030,25,19,0.07491870759017524
10,2030,25,21,0.14901096162088706
10,2030,25,23,0.08966393279025593
10,2030,26,1,0.04482718231264672
10,2030,26,4,0.13142597872107986
10,2030,26,9,0.021944518789115994
10,2030,26,10,0.011922290687241134
10,2030,26,13,0.11061750931417728
10,2030,26,15,0.013967166438895569
10,2030,26,16,0.6262964803900396
10,2030,26,18,0.03899887334680387
10,2030,27,9,0.01172930305484609
10,2030,27,13,0.021207588173452592
10,2030,27,23,0.9539053939828751
10,2030,27,24,0.013157714788826099
10,2030,28,4,0.011800272919173049
10,2030,28,6,0.015857553128090215
10,2030,28,13,0.02867647992774676
10,2030,28,17,0.02994014110235922
10,2030,28,19,0.8960153517944135
10,2030,28,24,0.017710201128217334
10,2030,29,21,1.0
10,2030,30,2,0.05708443686643369
10,2030,30,23,0.9429155631335662
10,2030,31,7,0.01429512259146443
10,2030,31,10,0.06471048266311842
10,2030,31,18,0.05012167541025892
10,2030,31,22,0.06655243252128641
10,2030,31,23,0.8043202868138717
10,2030,32,1,0.011785628433320948
10,2030,32,7,0.01719987460508174
10,2030,32,16,0.04195014735175436
10,2030,32,18,0.5315925620975106
10,2030,32,19,0.08073587839292096
10,2030,32,21,0.12680022809828012
10,2030,32,22,0.07912537537147127
10,2030,32,23,0.11081030564965996
10,2030,33,2,0.021727060652189285
10,2030,33,4,0.10376777103297387
10,2030,33,17,0.057665537402002344
10,2030,33,18,0.7448155969817518
10,2030,33,21,0.06145675018489991
10,2030,33,23,0.010567283746182796
10,2030,34,1,0.014566824096615211
10,2030,34,4,0.038822151801359936
10,2030,34,8,0.01957923045957996
10,2030,34,9,0.04178854067728497
10,2030,34,11,0.025466737494774613
10,2030,34,13,0.03730832620842885
10,2030,34,14,0.01644918054364365
10,2030,34,15,0.02153887112650552
10,2030,34,16,0.7252756590910295
10,2030,34,17,0.024443408931236497
10,2030,34,18,0.012355116748865204
10,2030,34,20,0.022405952820675982
10,2030,35,1,0.07077767251478555
10,2030,35,3,0.19239996985563074
10,2030,35,5,0.02011006911544432
10,2030,35,12,0.05384027860019456
10,2030,35,16,0.01806527806041533
10,2030,35,18,0.6448067318535294
10,2030,36,1,0.5660036243661768
10,2030,36,8,0.06289488830766211
10,2030,36,10,0.04138859097608544
10,2030,36,11,0.27791308106638407
10,2030,36,13,0.03809776864914884
10,2030,36,20,0.013702046634542645
10,2030,37,1,0.16627833727775534
10,2030,37,2,0.06809124326626396
10,2030,37,6,0.029580559074508673
10,2030,37,14,0.08684553812882734
10,2030,37,15,0.028484388396484456
10,2030,37,18,0.6041356038340276
10,2030,37,21,0.016584330022132495
10,2030,38,1,0.2718054185770108
10,2030,38,8,0.0337821061146109
10,2030,38,9,0.03941299453821363
10,2030,38,14,0.03799392033466966
10,2030,38,15,0.10492389407418534
10,2030,38,18,0.5120816663613097
