id,scenario,probability,operational_cost
1,1,0.2,1.0471924676205771e7
2,2,0.2,1.1249183166070102e7
3,3,0.2,1.128717565199524e7
4,4,0.2,1.1599504699743444e7
5,5,0.2,1.1798968541168269e7
