id,scenario,probability,operational_cost
1,1,0.1,3.210225809280513e6
2,2,0.1,4.155029210421817e6
3,3,0.1,4.699385489673564e6
4,4,0.1,4.27246384651174e6
5,5,0.1,3.9819029933209093e6
6,6,0.1,3.6548868054636354e6
7,7,0.1,3.4076878027078467e6
8,8,0.1,3.704339966937005e6
9,9,0.1,4.322059566969409e6
10,10,0.1,4.015944188209531e6
