scenario,milestone_year,period,rep_period,weight
5,2030,27,3,0.22956548770193017
5,2030,27,12,0.1252162403518629
5,2030,27,13,0.17635916004997856
5,2030,27,23,0.4385811722170315
5,2030,28,1,0.03696638183502272
5,2030,28,3,0.01946142575131253
5,2030,28,5,0.015961628507161246
5,2030,28,23,0.9276105639065035
5,2030,29,3,0.4000520550950943
5,2030,29,5,0.43884171402649114
5,2030,29,8,0.0171357449238152
5,2030,29,11,0.018879650246345043
5,2030,29,19,0.06973441920866034
5,2030,29,24,0.055356416499593795
5,2030,30,1,0.330485908380203
5,2030,30,5,0.26515201355572005
5,2030,30,12,0.08135430385338865
5,2030,30,13,0.10329340369220417
5,2030,30,19,0.1873437618762857
5,2030,30,21,0.0323706086421986
5,2030,31,4,0.027623790142768938
5,2030,31,5,0.033139904742285835
5,2030,31,7,0.06609372569432466
5,2030,31,16,0.040260774026217284
5,2030,31,21,0.7461342721164891
5,2030,31,23,0.08674753327791435
5,2030,32,3,0.5697741418093798
5,2030,32,5,0.3105645808190408
5,2030,32,14,0.010734854017179328
5,2030,32,22,0.10892642335440002
5,2030,33,7,0.15140545512209336
5,2030,33,12,0.0974307996965449
5,2030,33,16,0.06175907128585027
5,2030,33,18,0.03280679950366589
5,2030,33,20,0.018892386894084734
5,2030,33,21,0.5113337053974225
5,2030,33,23,0.1263717821003384
5,2030,34,3,0.3164764266094704
5,2030,34,5,0.07762455083889058
5,2030,34,12,0.09873983867481602
5,2030,34,16,0.4426831206996661
5,2030,34,17,0.064476063177157
5,2030,35,3,0.2711916594381301
5,2030,35,5,0.22979854923827311
5,2030,35,8,0.3094212378104482
5,2030,35,13,0.07310702250843239
5,2030,35,19,0.019782997484297654
5,2030,35,21,0.026857266009339936
5,2030,35,24,0.06984126751107862
5,2030,36,1,1.0
5,2030,37,1,0.9330034410607989
5,2030,37,9,0.013487439138154218
5,2030,37,12,0.05350911980104688
5,2030,38,1,0.10662022615738996
5,2030,38,5,0.044820661285446005
5,2030,38,10,0.15473672436064523
5,2030,38,13,0.1200143594535506
5,2030,38,21,0.5738080287429681
5,2030,39,2,0.05130970351935695
5,2030,39,3,0.7162000036713586
5,2030,39,5,0.03275259319900974
5,2030,39,17,0.19973769961027463
5,2030,40,21,1.0
5,2030,41,2,0.11497764650227917
5,2030,41,3,0.5968729775883177
5,2030,41,5,0.01488495044733679
5,2030,41,12,0.15397852621764763
5,2030,41,16,0.01889292915710604
5,2030,41,17,0.10039297008731272
5,2030,42,1,0.7748427120630708
5,2030,42,5,0.07684279464576758
5,2030,42,9,0.014340510133229374
5,2030,42,10,0.12218414265397845
5,2030,42,13,0.01178984050395392
5,2030,43,3,0.2128635548175906
5,2030,43,5,0.04432632754015776
5,2030,43,12,0.2806251495699654
5,2030,43,13,0.4621849680722864
5,2030,44,3,0.2901174568937981
5,2030,44,4,0.10259451768851259
5,2030,44,5,0.10728557978823583
5,2030,44,8,0.0
5,2030,44,12,0.32607689338510565
5,2030,44,14,0.06252566957496446
5,2030,44,21,0.11139988266938333
5,2030,45,3,0.2261535183239064
5,2030,45,5,0.31520275214714233
5,2030,45,12,0.2413872582292297
5,2030,45,13,0.16481699149952822
5,2030,45,14,0.0217765062117234
5,2030,45,19,0.030662973588469703
5,2030,46,3,0.28412623496407785
5,2030,46,4,0.11919924148075704
5,2030,46,5,0.13546646966629797
5,2030,46,8,0.0
5,2030,46,12,0.043709433470442545
