id,scenario,probability,solution,total_cost
1,1,0.025,,177.98788859340675
2,2,0.025,,194.75279558287596
3,3,0.025,,195.3100673451028
4,4,0.025,,193.96295248168468
5,5,0.025,,187.97001001618807
6,6,0.025,,204.8073639932876
7,7,0.025,,211.455047202465
8,8,0.025,,205.64604744023967
9,9,0.025,,187.8897067272989
10,10,0.025,,184.34414867150397
11,11,0.025,,199.3184904897083
12,12,0.025,,213.2182909215621
13,13,0.025,,195.970943979764
14,14,0.025,,218.17076227287728
15,15,0.025,,233.11376129673948
16,16,0.025,,218.6879321720349
17,17,0.025,,235.58223895459335
18,18,0.025,,227.1420533489427
19,19,0.025,,254.35419802816796
20,20,0.025,,226.85536412698244
21,21,0.025,,229.81355565371408
22,22,0.025,,225.03698918010025
23,23,0.025,,286.45505801539855
24,24,0.025,,267.560744666379
25,25,0.025,,281.56256471320785
26,26,0.025,,279.7383884968281
27,27,0.025,,316.3231954766738
28,28,0.025,,288.68511866243074
29,29,0.025,,261.9915866136745
30,30,0.025,,308.4751933770054
31,31,0.025,,268.3702373291223
32,32,0.025,,310.66456025869985
33,33,0.025,,335.7155991699993
34,34,0.025,,340.0946521907927
35,35,0.025,,307.00836390350185
36,36,0.025,,332.98148397507515
37,37,0.025,,325.77455157586616
38,38,0.025,,362.22407562999234
39,39,0.025,,333.7833547570437
40,40,0.025,,300.391125535474
