id,scenario,probability,operational_cost
1,1,0.1,5.242589512205667e6
2,2,0.1,5.0456904002167815e6
3,3,0.1,4.686639238339882e6
4,4,0.1,5.03712102400615e6
5,5,0.1,5.011892353868996e6
6,6,0.1,4.19870478178526e6
7,7,0.1,4.422001375974915e6
8,8,0.1,4.341430090190748e6
9,9,0.1,4.565427746252563e6
10,10,0.1,4.688059824654235e6
