asset,benchmark_solution,approximation_solution,diff
ccgt,1.1251797276618298,1.0963340698856998,-0.025636489057683693
wind,2.6598401189435394,3.124807461724643,0.17481026001133623
solar,0.6142308171535203,0.52613785762727,-0.14341996048731714
ocgt,0.0,0.19416860369419806,0.19416860369419806
electrolizer,1.0,1.0,0.0
wind_offshore,0.0,0.0,0.0
battery,0.0,0.0,0.0
