id,scenario,probability,solution,total_cost
1,1,0.025,,167.70969940679493
2,2,0.025,,174.3952882996657
3,3,0.025,,186.00740853910585
4,4,0.025,,159.06349659252942
5,5,0.025,,178.91201254550185
6,6,0.025,,172.82535856953317
7,7,0.025,,168.7184952678818
8,8,0.025,,208.77452908667996
9,9,0.025,,195.11545362457014
10,10,0.025,,207.20855126085138
11,11,0.025,,207.54148643467568
12,12,0.025,,200.8169938768231
13,13,0.025,,211.32447171028613
14,14,0.025,,190.84997279102652
15,15,0.025,,198.57678096837216
16,16,0.025,,204.78785280577506
17,17,0.025,,218.38293325171097
18,18,0.025,,202.30132630502152
19,19,0.025,,196.89929313926797
20,20,0.025,,207.40124167636301
21,21,0.025,,173.11672587563123
22,22,0.025,,258.80058386775494
23,23,0.025,,239.55732726036894
24,24,0.025,,284.9473668888793
25,25,0.025,,276.80325005326563
26,26,0.025,,257.12650430523723
27,27,0.025,,263.7358238100325
28,28,0.025,,259.72859812148505
29,29,0.025,,291.4817881802333
30,30,0.025,,291.0001569326603
31,31,0.025,,298.45731565737515
32,32,0.025,,296.696087429364
33,33,0.025,,282.5829259103422
34,34,0.025,,299.5789887700027
35,35,0.025,,332.08315059844205
36,36,0.025,,300.82723610807165
37,37,0.025,,290.08689292043795
38,38,0.025,,302.74116961715737
39,39,0.025,,269.47955698338745
40,40,0.025,,293.26187652433373
