id,scenario,probability,operational_cost
1,1,0.2,7.957171484516937e6
2,2,0.2,9.719955508436173e6
3,3,0.2,9.199050087002382e6
4,4,0.2,1.4611709757461166e7
5,5,0.2,1.4019718142716307e7
