id,scenario,probability,operational_cost
1,1,0.2,1.0384335065810313e7
2,2,0.2,9.96092772945506e6
3,3,0.2,1.0727864430467064e7
4,4,0.2,1.1418619979497358e7
5,5,0.2,1.0658206045055352e7
