milestone_year,scenario,timestep,solar,wind_offshore,wind_onshore,demand,hydro_inflow
2030,4,1,0.0,0.9487022826782118,0.8966024253308937,0.44577211056690874,0.7707231040564374
2030,4,2,0.0,0.9485421676222059,0.8897121208228496,0.4379820413218488,0.7707231040564374
2030,4,3,0.0,0.9469243218735772,0.8786578126282603,0.4265279888907655,0.7707231040564374
2030,4,4,0.0,0.945926798480144,0.8694368075125987,0.42465612040008255,0.7707231040564374
2030,4,5,0.0,0.9433673105761892,0.8738849257327794,0.4223667173337837,0.7707231040564374
2030,4,6,0.0,0.9434107143038566,0.8701768310095916,0.4349725083976056,0.7707231040564374
2030,4,7,0.0,0.9454783040899042,0.8731988535790562,0.44696607179718145,0.7707231040564374
2030,4,8,0.0,0.9455428555129777,0.8737419544041516,0.45709011240593744,0.7707231040564374
2030,4,9,5.0e-6,0.9476339657403584,0.8678278447347882,0.4637237516185329,0.7707231040564374
2030,4,10,0.02733,0.9468789892213733,0.8606682694203887,0.4743263149993432,0.7707231040564374
2030,4,11,0.137995,0.945054617961732,0.8440658645713043,0.4892918801253542,0.7707231040564374
2030,4,12,0.16347,0.9436030890226204,0.8300459734522733,0.5011822327309576,0.7707231040564374
2030,4,13,0.13788,0.941564060574707,0.8274970186800984,0.5104782412880707,0.7707231040564374
2030,4,14,0.1475225,0.934236691202842,0.8164584016047209,0.5098214453264276,0.7707231040564374
2030,4,15,0.14763,0.9256669602476697,0.8014352802394603,0.5103726847942353,0.7707231040564374
2030,4,16,0.0617425,0.9061430804036937,0.7699964119226441,0.514752106438477,0.7707231040564374
2030,4,17,0.0034875,0.8655364721499199,0.7071496893571085,0.5290468014036669,0.7707231040564374
2030,4,18,0.0,0.7869430888971951,0.589497070254189,0.5538314661562425,0.7707231040564374
2030,4,19,0.0,0.6936693741360673,0.47064966880413484,0.5595315168233594,0.7707231040564374
2030,4,20,0.0,0.5600956945659543,0.36283288601214697,0.5494942671095348,0.7707231040564374
2030,4,21,0.0,0.4339296200105495,0.27618757917109477,0.525706524798739,0.7707231040564374
2030,4,22,0.0,0.31360418220898334,0.2065834324987061,0.5127207303571094,0.7707231040564374
2030,4,23,0.0,0.21240220595601741,0.14403693696562628,0.49677700838822275,0.7707231040564374
2030,4,24,0.0,0.1572847635519699,0.09341254661481777,0.4815463791776915,0.7707231040564374
2030,4,25,0.0,0.1408800481736805,0.06590724552185637,0.4516832742216968,0.7707231040564374
2030,4,26,0.0,0.165747613440708,0.05945195692690238,0.43847932969280723,0.7707231040564374
2030,4,27,0.0,0.22281811580785799,0.0675234921222938,0.42806207660117473,0.7707231040564374
2030,4,28,0.0,0.3219298149084365,0.0850201948757922,0.4306188894518569,0.7707231040564374
2030,4,29,0.0,0.4489099197862825,0.10597507619249713,0.430853459438158,0.7707231040564374
