asset,benchmark_solution,approximation_solution,diff
ccgt,1.172026583024906,1.1394667391795161,-0.027780806610508326
wind,3.00528983085679,2.492449991051745,-0.17064571760748865
solar,0.44928248379149155,0.564280679974144,0.255959669765408
ocgt,0.3732806780245637,0.0,-1.0
electrolizer,1.0000000000000164,1.0,-1.6431300764452045e-14
wind_offshore,0.0,0.0,0.0
battery,0.0,0.0,0.0
e_demand_lol,0.0,0.0,0.0
h2_demand_lol,0.0,0.0,0.0
