base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,water_borrowed,value_at_risk_threshold_mu
0_HourlyBenchmark,1,Gurobi,0.0,5.0899818,18.5999435,41.8109556,5.0216791,2.0688310881938264e7,OPTIMAL,1226405,876013,0.0,0.0,,0,0,0.0,2.3341039906641718e7
convex_conicalb_cross,30,Gurobi,27.4614341,0.3446363,0.9756617,0.3646204,0.1226715,1.6567072629112294e7,OPTIMAL,28235,18063,2.3863555,2.0688310881938264e7,INFEASIBLE,0,0,0.0,2.3341039906641718e7
convex_conicalb_cross,60,Gurobi,36.349057,0.4387461,1.295498,0.5894632,0.179976,1.6187001269777715e7,OPTIMAL,45515,32463,0.2440489,2.0688310881938264e7,INFEASIBLE,0,0,0.0,2.3341039906641718e7
0_HourlyBenchmark_CC,1,Gurobi,0.0,1.9863103,5.6337164,25.9956247,1.8775783,2.250933134165074e7,OPTIMAL,490562,350410,0.0,0.0,,0,0,0.0,2.2142136687957015e7
