id,scenario,probability,solution,total_cost
1,1,0.014285714285714285,,165.71286465102224
2,2,0.014285714285714285,,182.6899341077203
3,3,0.014285714285714285,,172.33999952620408
4,4,0.014285714285714285,,189.04744629206525
5,5,0.014285714285714285,,188.92319153928153
6,6,0.014285714285714285,,181.92566439899835
7,7,0.014285714285714285,,190.40964733582
8,8,0.014285714285714285,,182.99956512630462
9,9,0.014285714285714285,,178.19871964987541
10,10,0.014285714285714285,,167.8733037938827
11,11,0.014285714285714285,,189.7886438018263
12,12,0.014285714285714285,,166.56816354094346
13,13,0.014285714285714285,,178.16589482974823
14,14,0.014285714285714285,,170.45897092627436
15,15,0.014285714285714285,,177.44172062553037
16,16,0.014285714285714285,,218.74764225370637
17,17,0.014285714285714285,,204.7952313817165
18,18,0.014285714285714285,,208.16795886769762
19,19,0.014285714285714285,,217.43989556204923
20,20,0.014285714285714285,,209.73934117696209
21,21,0.014285714285714285,,221.9163790224077
22,22,0.014285714285714285,,181.33570200141446
23,23,0.014285714285714285,,222.32933415149762
24,24,0.014285714285714285,,225.68234045856366
25,25,0.014285714285714285,,218.88022837576654
26,26,0.014285714285714285,,210.58613438176604
27,27,0.014285714285714285,,230.33542769329193
28,28,0.014285714285714285,,215.20963373096075
29,29,0.014285714285714285,,237.02031044715727
30,30,0.014285714285714285,,225.1651633024182
31,31,0.014285714285714285,,210.640902299679
32,32,0.014285714285714285,,231.45716915584933
33,33,0.014285714285714285,,209.93311754019805
34,34,0.014285714285714285,,208.82628622975454
35,35,0.014285714285714285,,212.05747392338364
36,36,0.014285714285714285,,216.66138072273554
37,37,0.014285714285714285,,210.77871669732116
38,38,0.014285714285714285,,269.9960328338433
39,39,0.014285714285714285,,253.72688896697986
40,40,0.014285714285714285,,287.81065225775734
41,41,0.014285714285714285,,269.3832044756075
42,42,0.014285714285714285,,232.86788926045648
43,43,0.014285714285714285,,278.21790754840913
44,44,0.014285714285714285,,286.8748653621377
45,45,0.014285714285714285,,284.1631657036599
46,46,0.014285714285714285,,263.6036656232092
47,47,0.014285714285714285,,263.027429809068
48,48,0.014285714285714285,,294.9482719118168
49,49,0.014285714285714285,,275.989897188735
50,50,0.014285714285714285,,254.16090504770565
51,51,0.014285714285714285,,288.0937903456044
52,52,0.014285714285714285,,254.87952686106655
53,53,0.014285714285714285,,244.62438350867205
54,54,0.014285714285714285,,253.12759352032103
55,55,0.014285714285714285,,239.61336452814862
56,56,0.014285714285714285,,260.2553435121807
57,57,0.014285714285714285,,251.07563560454176
58,58,0.014285714285714285,,304.06220427335506
59,59,0.014285714285714285,,311.6724032923925
60,60,0.014285714285714285,,321.23967433399423
61,61,0.014285714285714285,,294.2779145433393
62,62,0.014285714285714285,,317.55023041353684
63,63,0.014285714285714285,,301.4345710222697
64,64,0.014285714285714285,,324.49399231547375
65,65,0.014285714285714285,,327.22129363043706
66,66,0.014285714285714285,,326.49967821198067
67,67,0.014285714285714285,,313.42318332839295
68,68,0.014285714285714285,,343.14041369186
69,69,0.014285714285714285,,315.3316695783972
70,70,0.014285714285714285,,283.21286019487
