base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,value_at_risk_threshold_mu,num_constraints,num_variables,time_to_resolve_hourly,objective_value_resolve_hourly,termination_status_resolve_hourly,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,water_borrowed,value_at_risk_threshold_mu_hourly,scenario_set
convex_conicalb_cross,60,Gurobi,154.125641417,0.194722875,1.81077225,0.719999791,0.187104,1.75941256562481e7,OPTIMAL,1.8610174377096545e7,122200,58048,0.0,0.0,,0,0,0.0,0.0,full
convex_conicalb_cross,60,Gurobi,28.359754958,3.298827208,0.540492,0.264432875,0.085223583,1.9221670050885566e7,OPTIMAL,1.954973743049039e7,47706,33194,32.71714275,2.3639350094172742e7,OPTIMAL,1,7,0.0,2.3987646742397424e7,reduced
convex_conicalb_cross,180,Gurobi,74.045607,11.753372875,16.603049542,1.340139042,1.162003541,1.9093885226378594e7,OPTIMAL,1.9365159169571437e7,116826,90794,34.927645458,2.3636526353023246e7,OPTIMAL,1,8,0.0,2.398483359789129e7,reduced
